Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, Black or African American Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder - Margin of Error","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Asian Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, Some Other Race Householder - Margin of Error","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, 2 or More Races Householder - Margin of Error","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Non-Hispanic White Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,Shape Area,Shape Length
29,01779793,32,NV,Nevada,284329506470,2047206072,57598,408,35767,767,60571,713,66537,781,45468,568,39726,1174,41478,2422,65460,1728,57109,5486,45541,1091,56504,2520,63583,479,49873,921,1075930,3357,98132,2189,977798,3778,9.1,0.201451869327364,480296959354.523,3054837.00039464
30,01779794,33,NH,New Hampshire,23189413166,1026675248,74057,714,40545,2939,82169,1346,89737,1260,49751,793,51630,5576,47902,13356,83301,3282,,,68229,22926,58643,5440,74973,739,55157,3721,528078,2194,65393,1313,462685,2409,12.4,0.243256399988536,45993313981.2422,1325725.46016365
31,01779795,34,NJ,New Jersey,19047825980,3544860246,79363,386,37186,1339,85767,688,97649,734,51492,428,51309,698,53507,5102,116131,1311,48429,12110,47407,1005,68823,2847,90860,469,54160,730,3213362,6651,301652,3533,2911710,6819,9.4,0.108216678437597,34585251558.0195,1108954.77082574
32,00897535,35,NM,New Mexico,314196306401,728776523,48059,438,26961,1149,50836,739,55842,838,40143,661,38490,4234,33552,881,65019,3537,47311,25553,35625,1079,46036,3063,58181,770,40641,691,775651,3254,76796,2051,698855,3675,9.9,0.261140417671447,464401254928.867,2900289.74311495
33,01779796,36,NY,New York,122049149763,19246994695,65323,270,32689,648,73850,407,78232,410,44136,260,46178,471,41267,2347,72131,1037,47227,15125,40328,538,56921,1323,75528,280,46259,468,7316537,13711,765852,5772,6550685,12668,10.5,0.0764121950583957,237353385392.078,3682010.17010104
34,01027616,37,NC,North Carolina,125923656064,13466071395,52413,224,29094,607,56570,443,62464,433,40062,303,37242,340,38206,1961,80500,1933,48398,9113,37107,1022,46787,2321,59421,343,40001,593,3918597,8585,388072,3746,3530525,8204,9.9,0.0931007308452379,195801753003.506,4403735.8828274
35,01779797,38,ND,North Dakota,178707534813,4403267548,63473,688,36135,2026,73785,1331,80529,1347,41770,1051,34565,3246,36710,2994,62223,9224,,,56250,11469,51901,6298,66668,795,47116,4655,314903,1937,47264,1201,267639,1786,15,0.370044400278705,400350928827.844,3125578.96415313
36,01085497,39,OH,Ohio,105828882568,10268850702,54533,167,28485,578,60925,391,66721,420,40358,195,31669,300,33682,4647,73058,1757,47894,18764,40216,1710,39526,1274,59163,222,42732,1123,4654075,10201,425454,3989,4228621,9744,9.1,0.0833348786841985,184250016903.082,2145537.3902456
37,01102857,40,OK,Oklahoma,177662925723,3374587997,51424,213,29782,812,56693,421,60647,545,39918,329,34138,828,42820,832,56996,2380,40486,2562,40812,1166,45833,927,55372,275,42770,843,1474620,3107,157107,2012,1317513,3256,10.7,0.134582652448382,274418929032.125,3307801.49902582
38,01155107,41,OR,Oregon,248606993270,6192386935,59393,384,30840,869,66141,723,71022,722,44699,495,37078,2885,42047,3104,75929,2404,60028,5541,50193,1667,51581,1741,61206,371,48447,934,1591835,4000,206813,3178,1385022,5015,13,0.196956418541302,485172367900.613,3245538.65057504
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,59445,234,28511,820,67926,468,73434,379,40464,217,36847,416,37702,3604,72699,1712,51705,13897,36202,1207,45666,1685,63856,213,40086,774,5025132,9263,460641,4280,4564491,8166,9.2,0.0834789184278814,205470650971.238,2099403.10040633
40,01219835,44,RI,Rhode Island,2677779902,1323670487,63296,705,29247,2329,68018,1273,78949,1283,42027,679,41630,1661,34414,11177,72907,3738,41155,6826,35517,2731,42704,6604,69896,914,36920,1940,410885,1911,37684,1297,373201,2295,9.2,0.31276475090243,5138826412.45703,684858.781468928
41,01779799,45,SC,South Carolina,77864918488,5075218778,51015,271,27631,939,54753,564,59405,615,41017,402,33371,510,39484,4906,61898,3178,35280,10884,38951,2084,47230,3064,59565,390,41007,1161,1894711,6012,169629,3114,1725082,5843,9,0.161878574446802,117400772448.367,1913780.73006024
42,01785534,46,SD,South Dakota,196346981786,3382720225,56499,508,33170,2048,64381,700,68069,1330,40628,804,31957,2981,27045,1650,51288,6910,38958,35869,44235,6961,42030,4823,59813,710,43745,4263,341565,2003,53451,1099,288114,2095,15.6,0.308390169233761,391981981880.488,2963038.79879796
43,01325873,47,TN,Tennessee,106802728188,2350123465,50972,250,29429,729,55707,505,59578,503,39089,308,36683,489,43212,5413,72881,2998,26466,19206,37533,1954,42803,2037,54469,277,41338,936,2567061,6524,277617,3475,2289444,6202,10.8,0.132549305808638,166479132010.395,2621414.14746378
44,01779801,48,TX,Texas,676653171537,19006305260,59570,209,31149,359,63253,298,71455,407,43411,212,44688,468,52094,2038,84851,988,53659,5341,44048,547,58037,1235,73059,291,46893,253,9553046,18343,1115124,8361,8437922,16330,11.7,0.0846032164892223,948772603667.359,8498747.68231443
45,01455989,49,UT,Utah,212886221680,6998824394,68374,437,37318,1298,72045,582,84726,873,51172,683,42739,3211,41942,2831,70759,2610,64594,4482,48967,953,59343,1978,71859,463,49787,851,957619,2261,121417,2285,836202,2890,12.7,0.236727323707943,368286055480.023,2557182.52571818
46,01779802,50,VT,Vermont,23874175944,1030416650,60076,656,33244,2411,67976,1268,71566,1238,42542,921,43548,5757,41793,8469,55568,8056,,,60078,11934,45496,4793,60787,705,51322,5322,259589,1229,41272,1012,218317,1380,15.9,0.382511169796584,48272262368.6875,1281146.38406649
47,01779803,51,VA,Virginia,102257717110,8528531774,71564,326,34975,816,76934,602,86769,675,51230,395,49273,614,61850,4510,102735,1786,79474,13241,56708,1728,72469,1564,77315,351,66452,1452,3128415,7210,321167,3423,2807248,7207,10.3,0.106827676568255,167393387789.438,3720009.40071729
48,01779804,53,WA,Washington,172112588220,12559278850,70116,308,38158,994,77436,468,84306,606,49616,374,50487,1625,45558,2121,90131,1404,65024,4289,49832,1137,63873,1324,72813,302,52879,748,2800423,5474,317041,3680,2483382,5716,11.3,0.129531979457587,383121257587.906,5712576.49965079
49,01779805,54,WV,West Virginia,62266474513,489028543,44921,470,23874,1679,52786,950,52261,784,35779,429,32070,1702,29927,5199,58521,4804,60318,44888,32121,18318,40758,3168,45449,459,45765,4464,734676,2910,48221,1424,686455,3082,6.6,0.192075489740026,103045995644.488,2614070.38582527
50,01779806,55,WI,Wisconsin,140290039723,29344951758,59209,236,31712,542,67042,515,73206,380,40383,302,30002,669,41594,1402,66408,1876,38836,11448,41759,1525,47712,1988,62539,216,44464,1362,2343129,6471,232869,2358,2110260,5984,9.9,0.0968194835838745,287412766182.25,3531267.26152137
51,01779807,56,WY,Wyoming,251458544898,1867670745,62268,932,30764,2116,72111,1765,74718,1798,42937,1560,44712,13672,49352,6275,54025,8831,137572,130800,42027,3465,54317,6653,63842,882,49059,3046,230630,1390,28140,1102,202490,1663,12.2,0.472128981020172,474197554689.898,2777134.58728037
52,01779808,72,PR,Puerto Rico,8868896030,4922382562,20166,190,6666,634,22421,454,23630,327,17201,168,19496,479,23558,4306,17146,7451,,,16874,387,21523,943,30534,3147,20079,193,1205075,4286,102661,2142,1102414,4685,8.5,0.175146835598855,9987439695.85156,764185.625731979
