FID,NAMELSAD10,State,County,Region,Pop_T,PopDense,Prcnt_U18,Under18,Prcnt_65O,Over65,Prcnt_HHBM,HH_Below50,Prcnt_Lng,PoorEng,Minority,Non_white,Occ_HU,HU,Prcnt_Rent,Renters,Prcnt_NoCa,HH_NoCar,Employment,SV_Index2
62,Census Tract 189.01,New York,Richmond,NYC,5333,19.863947,0.195762,1043.998746,0.181136,965.998288,0.276,555.312,0.059,290.162,0.751734,4008.997422,0.953311,2012,0.181661,365.501932,0.027682,55.696184,689,0.328286
63,Census Tract 189.02,New York,Richmond,NYC,5064,25.803235,0.246051,1246.002264,0.147907,749.001048,0.361,649.078,0.177,860.043,0.589258,2984.002512,0.937047,1798,0.237113,426.329174,0.010872,19.547856,648,0.338281
64,Census Tract 197,New York,Richmond,NYC,1867,25.171848,0.212641,397.000747,0.142475,266.000825,0.164,111.52,0.02,33.2,0.850562,1587.999254,0.970954,680,0.112748,76.66864,0.02153,14.6404,69,0.311864
65,Census Tract 201,New York,Richmond,NYC,3572,23.011586,0.255319,911.999468,0.121501,434.001572,0.319,373.868,0.072,236.16,0.606383,2166.000076,0.940356,1172,0.229644,269.142768,0.027236,31.920592,710,0.32143
66,Census Tract 207,New York,Richmond,NYC,6399,27.470322,0.311299,1992.002301,0.073918,473.001282,0.63,1060.92,0.226,1162.996,0.130177,833.002623,0.915753,1684,0.699769,1178.410996,0.120981,203.732004,1800,0.388487
67,Census Tract 303.02,New York,Richmond,NYC,6369,28.252716,0.272256,1733.998464,0.066101,420.997269,0.373,753.46,0.155,928.605,0.310253,1976.001357,0.959901,2020,0.319367,645.12134,0.051521,104.07242,290,0.313425
68,Census Tract 208.01,New York,Richmond,NYC,8977,13.953042,0.241729,2170.001233,0.099588,894.001476,0.283,876.168,0.075,602.175,0.864877,7764.000829,0.948509,3096,0.114561,354.680856,0.014513,44.932248,674,0.330222
69,Census Tract 170.08,New York,Richmond,NYC,7388,28.699607,0.21386,1579.99768,0.127233,939.997404,0.203,534.296,0.037,258.593,0.866676,6403.002288,0.962825,2632,0.095944,252.524608,0.021639,56.953848,149,0.316022
70,Census Tract 208.03,New York,Richmond,NYC,6463,12.461643,0.252669,1632.999747,0.11326,731.99938,0.262,534.218,0.047,271.378,0.877611,5671.999893,0.935154,2039,0.207725,423.551275,0.012496,25.479344,118,0.338489
71,Census Tract 213,New York,Richmond,NYC,5376,27.729392,0.279576,1503.000576,0.078869,423.999744,0.437,717.554,0.204,971.448,0.326451,1755.000576,0.936724,1642,0.362485,595.20037,0.089794,147.441748,449,0.339362
72,Census Tract 223,New York,Richmond,NYC,2880,17.035649,0.309028,890.00064,0.062153,179.00064,0.349,279.549,0.173,424.888,0.18125,522,0.902778,801,0.287387,230.196987,0.089124,71.388324,678,0.294215
73,Census Tract 226,New York,Richmond,NYC,8490,4.324562,0.232744,1975.99656,0.088104,748.00296,0.274,708.838,0.101,857.187,0.785512,6668.99688,0.944964,2587,0.217767,563.363229,0.009624,24.897288,4691,0.331714
74,Census Tract 231,New York,Richmond,NYC,4683,31.967053,0.290839,1361.999037,0.097801,458.002083,0.46,623.76,0.215,938.475,0.189408,886.997664,0.930339,1356,0.219652,297.848112,0.059484,80.660304,230,0.307815
75,Census Tract 239,New York,Richmond,NYC,3250,24.923228,0.285538,927.9985,0.073231,238.00075,0.424,415.944,0.154,419.958,0.253846,824.9995,0.923077,981,0.174394,171.080514,0.061938,60.761178,1132,0.293753
76,Census Tract 247,New York,Richmond,NYC,2702,22.581207,0.238342,644.000084,0.093264,251.999328,0.405,383.535,0.139,328.04,0.360474,974.000748,0.958544,947,0.420517,398.229599,0.075176,71.191672,591,0.33629
77,Census Tract 248,New York,Richmond,NYC,4741,10.833594,0.267665,1268.999765,0.090487,428.998867,0.282,461.634,0.021,99.162,0.835478,3961.001198,0.91901,1637,0.309996,507.463452,0.016462,26.948294,815,0.342762
78,Census Tract 251,New York,Richmond,NYC,5714,19.673572,0.210711,1204.002654,0.157683,901.000662,0.255,534.48,0.063,327.474,0.796815,4553.00091,0.955475,2096,0.132918,278.596128,0.029941,62.756336,354,0.325193
79,Census Tract 273.01,New York,Richmond,NYC,3820,5.081951,0.178796,683.00072,0.142932,546.00024,0.284,414.924,0.2,717.8,0.693194,2648.00108,0.955099,1461,0.152636,223.001196,0.025439,37.166379,2312,0.329012
80,Census Tract 273.02,New York,Richmond,NYC,3667,14.64205,0.25934,950.99978,0.122716,449.999572,0.196,249.9,0.102,404.736,0.691573,2535.998191,0.919847,1275,0.218515,278.606625,0.013393,17.076075,215,0.315423
81,Census Tract 9526,New York,Ulster,Hudson Valley,5630,0.243404,0.225222,1267.99986,0.13659,769.0017,0.313,605.342,0.004,21.34,0.853641,4805.99883,0.863251,1934,0.245238,474.290292,0.012232,23.656688,392,0.331647
82,Census Tract 9524,New York,Ulster,Hudson Valley,2706,3.595988,0.157797,426.998682,0.204361,553.000866,0.586,769.418,0.029,71.978,0.789727,2137.001262,0.931607,1313,0.45706,600.11978,0.184971,242.866923,5580,0.417565
83,Census Tract 9527,New York,Ulster,Hudson Valley,2891,0.422534,0.19751,571.00141,0.129713,375.000283,0.431,512.459,0.033,85.404,0.893462,2582.998642,0.85635,1189,0.377049,448.311261,0.023472,27.908208,542,0.367695
84,Census Tract 303.01,New York,Richmond,NYC,4929,27.922923,0.23311,1148.99919,0.094745,466.998105,0.39,700.05,0.092,448.408,0.456685,2251.000365,0.954694,1795,0.384192,689.62464,0.055102,98.90809,584,0.332566
85,Census Tract 277.02,New York,Richmond,NYC,6193,17.270466,0.173906,1076.999858,0.16115,998.00195,0.393,1125.552,0.126,742.392,0.674471,4176.998903,0.948368,2864,0.300989,862.032496,0.080434,230.362976,6920,0.35729
86,Census Tract 279,New York,Richmond,NYC,2137,1.618749,0.175948,376.000876,0.317735,678.999695,0.262,166.37,0.049,103.439,0.901731,1926.999147,0.953425,635,0.065064,41.31564,0.007034,4.46659,1054,0.341492
87,Census Tract 170.05,New York,Richmond,NYC,4507,12.175232,0.215221,970.001047,0.123586,557.002102,0.268,417.544,0.07,302.33,0.869758,3919.999306,0.930659,1558,0.097128,151.325424,0.010305,16.05519,620,0.323082
88,Census Tract 291.02,New York,Richmond,NYC,2953,1.24773,0.248561,734.000633,0.079241,233.998673,0.252,198.828,0.058,127.194,0.719269,2124.001357,0.968379,789,0.174652,137.800428,0.031794,25.085466,3715,0.316487
89,Census Tract 319.01,New York,Richmond,NYC,3265,34.049569,0.325268,1062.00002,0.05758,187.9987,0.814,891.33,0.083,249.083,0.066462,216.99843,0.963669,1095,0.820743,898.713585,0.184699,202.245405,816,0.414428
90,Census Tract 319.02,New York,Richmond,NYC,4848,29.17416,0.333952,1618.999296,0.050124,243.001152,0.598,925.704,0.027,104.328,0.094678,458.998944,0.914401,1548,0.488743,756.574164,0.159006,246.141288,870,0.333238
91,Census Tract 323,New York,Richmond,NYC,1250,1.295926,0.2424,303,0.0824,103,0.623,267.267,0.205,197.825,0.22,275,0.949153,429,0.355251,152.402679,0.126941,54.457689,1913,0.350518
92,Census Tract 132.03,New York,Richmond,NYC,5433,21.286698,0.220136,1195.998888,0.165102,896.999166,0.29,556.51,0.039,196.326,0.880361,4783.001313,0.949697,1919,0.088218,169.290342,0.047164,90.507716,520,0.33496
93,Census Tract 170.07,New York,Richmond,NYC,4968,13.798546,0.273148,1356.999264,0.069847,346.999896,0.297,495.396,0.131,570.505,0.638285,3170.99988,0.955671,1668,0.125753,209.756004,0.011594,19.338792,131,0.312787
94,Census Tract 9534,New York,Ulster,Hudson Valley,4414,1.841936,0.155415,686.00181,0.141368,623.998352,0.489,1086.069,0.036,179.28,0.772995,3411.99993,0.934282,2221,0.542857,1205.685397,0.040428,89.790588,1651,0.389043
95,Census Tract 9548,New York,Ulster,Hudson Valley,4863,1.235358,0.27699,1347.00237,0.128933,627.001179,0.602,1024.604,0.101,428.038,0.532799,2591.001537,0.834063,1702,0.510643,869.114386,0.127496,216.998192,1634,0.38924
96,Census Tract 9537,New York,Ulster,Hudson Valley,5216,0.3009,0.247508,1291.001728,0.117715,614.00144,0.314,647.782,0.008,42.048,0.83934,4377.99744,0.929372,2063,0.181272,373.964136,0.013136,27.099568,1290,0.331293
97,Census Tract 9540,New York,Ulster,Hudson Valley,5019,0.475998,0.209006,1049.001114,0.166368,835.000992,0.437,818.501,0.066,285.582,0.841602,4224.000438,0.916974,1873,0.253562,474.921626,0.015361,28.771153,426,0.363234
98,Census Tract 9501,New York,Ulster,Hudson Valley,5336,0.269483,0.208396,1112.001056,0.144678,772.001808,0.378,713.286,0.04,199.88,0.921289,4915.998104,0.862083,1887,0.198817,375.167679,0.028239,53.286993,1471,0.347688
99,Census Tract 9516,New York,Ulster,Hudson Valley,2112,0.855477,0.209754,443.000448,0.182292,385.000704,0.327,277.296,0.036,74.52,0.887311,1874.000832,0.944633,848,0.144853,122.835344,0.018165,15.40392,312,0.343751
100,Census Tract 9519,New York,Ulster,Hudson Valley,2921,7.441247,0.223554,653.001234,0.133858,390.999218,0.508,522.732,0.018,43.794,0.694283,2028.000643,0.92474,1029,0.343357,353.314353,0.035021,36.036609,1896,0.360102
101,Census Tract 9541,New York,Ulster,Hudson Valley,5480,0.444343,0.27427,1502.9996,0.081934,448.99832,0.44,832.04,0.057,320.91,0.647628,3549.00144,0.903086,1891,0.368917,697.622047,0.019027,35.980057,579,0.348983
102,Census Tract 9512,New York,Ulster,Hudson Valley,3955,0.214367,0.207332,819.99806,0.185841,735.001155,0.309,498.417,0.011,41.932,0.922377,3648.001035,0.892086,1613,0.0721,116.2973,0.006531,10.534503,276,0.325783
103,Census Tract 9547,New York,Ulster,Hudson Valley,1840,0.077084,0.172826,317.99984,0.154891,284.99944,0.531,387.63,0.151,310.607,0.753804,1386.99936,0.523734,730,0.185263,135.24199,0.036842,26.89466,365,0.31367
104,Census Tract 291.04,New York,Richmond,NYC,6735,17.705982,0.22346,1505.0031,0.119525,805.000875,0.296,673.4,0.114,698.25,0.657313,4427.003055,0.949813,2275,0.120456,274.0374,0.021103,48.009325,962,0.312709
105,Census Tract 291.03,New York,Richmond,NYC,7245,14.423687,0.202899,1470.003255,0.154037,1115.998065,0.283,756.459,0.064,457.856,0.768116,5565.00042,0.941448,2673,0.190264,508.575672,0.02407,64.33911,1269,0.328479
106,Census Tract 146.04,New York,Richmond,NYC,6422,23.018971,0.201028,1291.001816,0.1635,1049.997,0.195,516.36,0.071,500.408,0.882903,5670.003066,0.94102,2648,0.160064,423.849472,0.025294,66.978512,496,0.329976
107,Census Tract 170.09,New York,Richmond,NYC,4299,16.187685,0.217958,937.001442,0.139102,597.999498,0.245,371.665,0.044,178.244,0.908816,3906.999984,0.928955,1517,0.200284,303.830828,0.008296,12.585032,139,0.336551
108,Census Tract 228,New York,Richmond,NYC,105,0.043589,0.447619,46.999995,0.038095,3.999975,0,0,0,0,0.438095,45.999975,0.888889,56,0.055556,3.111136,0,0,430,0.233532
109,Census Tract 244.01,New York,Richmond,NYC,5823,11.101833,0.261034,1520.000982,0.10802,629.00046,0.273,536.445,0.007,39.627,0.898506,5232.000438,0.936041,1965,0.163495,321.267675,0.018865,37.069725,253,0.333245
110,Census Tract 244.02,New York,Richmond,NYC,4259,9.316879,0.247241,1052.999419,0.093919,400.001021,0.246,352.518,0.07,260.33,0.897629,3823.001911,0.905861,1433,0.09982,143.04206,0.016423,23.534159,135,0.322112
111,Census Tract 277.05,New York,Richmond,NYC,5351,40.739799,0.215287,1152.000737,0.113063,605.000113,0.237,420.201,0.193,1007.074,0.68604,3671.00004,0.903194,1773,0.124001,219.853773,0.052288,92.706624,155,0.315484
112,Census Tract 277.06,New York,Richmond,NYC,2950,27.21637,0.21661,638.9995,0.126441,373.00095,0.396,425.304,0.222,683.094,0.650847,1919.99865,0.919192,1074,0.255185,274.06869,0.050911,54.678414,374,0.354648
113,Census Tract 9542,New York,Ulster,Hudson Valley,5713,0.203089,0.222825,1272.999225,0.123053,703.001789,0.26,601.64,0.013,71.214,0.893051,5102.000363,0.854023,2314,0.250399,579.423286,0.005497,12.720058,892,0.327731
114,Census Tract 9545,New York,Ulster,Hudson Valley,4732,0.195478,0.131868,623.999376,0.110524,522.999568,0.463,552.359,0.07,311.01,0.596788,2824.000816,0.780934,1193,0.220021,262.485053,0.067917,81.024981,147,0.305132
115,Census Tract 9505,New York,Ulster,Hudson Valley,3008,0.390985,0.148936,447.999488,0.233045,700.99936,0.333,472.194,0.013,39.026,0.895612,2694.000896,0.769388,1418,0.112888,160.075184,0.038695,54.86951,1042,0.31807
116,Census Tract 9536,New York,Ulster,Hudson Valley,5647,1.868017,0.219409,1239.002623,0.173366,978.997802,0.444,1049.172,0.021,102.333,0.794758,4487.998426,0.93153,2363,0.389712,920.889456,0.024219,57.229497,2000,0.374749
117,Census Tract 9529,New York,Ulster,Hudson Valley,5607,0.15872,0.178527,1001.000889,0.161584,906.001488,0.313,753.704,0.011,60.016,0.926699,5196.001293,0.802944,2408,0.106115,255.52492,0.011691,28.151928,1467,0.313945
118,Census Tract 9525,New York,Ulster,Hudson Valley,3411,2.687577,0.191146,651.999006,0.178833,609.999363,0.412,572.268,0.014,46.284,0.875989,2987.998479,0.904169,1389,0.18428,255.96492,0.014424,20.034936,391,0.346855
