FIPS,RPL_THEMES,COUNTY
36005029700,0.6679,Bronx
36005030000,0.5821,Bronx
36005030100,0.5571,Bronx
36005030200,0.829,Bronx
36005030701,0.4262,Bronx
36005030900,0.6178,Bronx
36005031000,0.6914,Bronx
36005031200,0.6178,Bronx
36005031400,0.6994,Bronx
36005031600,0.6261,Bronx
36005031800,0.6979,Bronx
36005031900,-999.0,Bronx
36005032300,0.5623,Bronx
36005032400,0.9877,Bronx
36005032600,0.7868,Bronx
36005032800,0.9893,Bronx
36005033000,0.8587,Bronx
36005033201,0.9613,Bronx
36005033202,0.9928,Bronx
36005033400,0.2023,Bronx
36005033500,0.4019,Bronx
36005033600,0.9439,Bronx
36005033700,0.6083,Bronx
36005033800,0.9464,Bronx
36005034000,0.9297,Bronx
36005034200,0.8152,Bronx
36005034300,0.8471,Bronx
36005034400,0.7353,Bronx
36005034500,0.8346,Bronx
36005034800,0.9427,Bronx
36005035000,0.4451,Bronx
36005035100,0.659,Bronx
36005035600,0.5187,Bronx
36005035800,0.7095,Bronx
36005035900,0.9932,Bronx
36005036000,0.7842,Bronx
36005036100,0.9931,Bronx
36005036300,0.997,Bronx
36005036400,0.6525,Bronx
36005036501,0.9994,Bronx
36005036502,0.9913,Bronx
36005036700,0.9954,Bronx
36005036800,0.9377,Bronx
36005036901,0.9984,Bronx
36005036902,0.9991,Bronx
36005037000,0.7673,Bronx
36005037100,0.9863,Bronx
36005037200,0.9437,Bronx
36005037300,0.9972,Bronx
36005037400,0.9515,Bronx
36005037504,0.9994,Bronx
36005037600,0.9764,Bronx
36005037800,0.9824,Bronx
36005037900,0.9961,Bronx
36005038000,0.9699,Bronx
36005038100,0.9805,Bronx
36005038200,0.9248,Bronx
36005038301,0.9931,Bronx
36005038302,0.9989,Bronx
36005038500,0.9983,Bronx
36005038600,0.86,Bronx
36005038700,0.9796,Bronx
36005038800,0.9379,Bronx
36005038900,0.985,Bronx
36005039000,0.8466,Bronx
36005039100,0.9677,Bronx
36005039200,0.92,Bronx
36005039300,0.9998,Bronx
36005039400,0.984,Bronx
36005039500,0.9981,Bronx
36005039600,0.9805,Bronx
36005039700,0.8218,Bronx
36005039800,0.5294,Bronx
36005039901,0.9985,Bronx
36005039902,0.9973,Bronx
36005040100,0.9723,Bronx
36005040302,0.9879,Bronx
36005040303,0.9972,Bronx
36005040304,0.9676,Bronx
36005040400,0.6814,Bronx
36005040501,0.9634,Bronx
36005040502,0.919,Bronx
36005040600,0.962,Bronx
36005040701,0.9041,Bronx
36005040702,0.9901,Bronx
36005040800,0.9454,Bronx
36005040900,0.7343,Bronx
36005041100,0.8942,Bronx
36005041300,0.951,Bronx
36005041400,0.8622,Bronx
36005041500,0.8817,Bronx
36005041800,0.8986,Bronx
36005041900,0.9741,Bronx
36005042000,0.987,Bronx
36005042100,0.9832,Bronx
36005042200,0.8658,Bronx
36005042300,0.9813,Bronx
36005042400,0.7626,Bronx
36005042500,0.9737,Bronx
36005042600,0.5118,Bronx
36005042800,0.4374,Bronx
36005042901,0.9351,Bronx
36005042902,0.9907,Bronx
36005043000,0.8861,Bronx
36005043100,0.9997,Bronx
36005043400,0.9547,Bronx
