FIPS,RPL_THEMES,COUNTY,ZCTA5,modzcta
36005023100,0.9944,Bronx,10457,10457
36005023200,0.9806,Bronx,10462,10462
36005023301,0.9755,Bronx,10453,10453
36005023302,0.9975,Bronx,10457,10457
36005023501,0.9641,Bronx,10453,10453
36005023502,0.9913,Bronx,10457,10457
36005023600,0.9942,Bronx,10460,10460
36005023600,0.9942,Bronx,10462,10462
36005023702,0.9951,Bronx,10458,10458
36005023703,0.9963,Bronx,10468,10468
36005023704,0.9969,Bronx,10453,10453
36005023800,0.8445,Bronx,10462,10462
36005023900,0.9905,Bronx,10453,10453
36005023900,0.9905,Bronx,10468,10468
36005024000,0.8784,Bronx,10460,10460
36005024000,0.8784,Bronx,10462,10462
36005024100,0.987,Bronx,10453,10453
36005024300,0.9864,Bronx,10453,10453
36005024400,0.7408,Bronx,10462,10462
36005024501,0.9998,Bronx,10453,10453
36005024502,0.9964,Bronx,10453,10453
36005024600,0.7585,Bronx,10462,10462
36005024700,0.9157,Bronx,10453,10453
36005024800,0.7327,Bronx,10461,10461
36005024800,0.7327,Bronx,10462,10462
36005024900,-999.0,Bronx,10453,10453
36005025000,0.7341,Bronx,10461,10461
36005025000,0.7341,Bronx,10462,10462
36005025100,0.9852,Bronx,10453,10453
36005025200,0.6415,Bronx,10461,10461
36005025200,0.6415,Bronx,10462,10462
36005025300,0.9933,Bronx,10468,10468
36005025400,0.7795,Bronx,10461,10461
36005025500,0.9879,Bronx,10453,10453
36005025500,0.9879,Bronx,10468,10468
36005025600,0.9296,Bronx,10461,10461
36005025600,0.9296,Bronx,10462,10462
36005025700,0.7722,Bronx,10468,10468
36005026100,0.6455,Bronx,10468,10468
36005026300,0.9991,Bronx,10468,10468
36005026400,0.7499,Bronx,10461,10461
36005026500,0.9918,Bronx,10468,10468
36005026601,0.7517,Bronx,10461,10461
36005026602,0.9321,Bronx,10461,10461
36005026701,0.8901,Bronx,10468,10468
36005026702,0.9688,Bronx,10468,10468
36005026900,0.9717,Bronx,10463,10463
36005026900,0.9717,Bronx,10468,10468
36005027300,0.9975,Bronx,10463,10463
36005027300,0.9975,Bronx,10468,10468
36005027401,0.4315,Bronx,10465,10465
36005027402,0.5562,Bronx,10465,10465
36005027600,-999.0,Bronx,10461,10461
36005027600,-999.0,Bronx,10475,10475
36005027700,0.9826,Bronx,10463,10463
36005027900,0.9432,Bronx,10463,10463
36005028100,0.7916,Bronx,10463,10463
36005028300,0.9876,Bronx,10463,10463
36005028400,0.8607,Bronx,10461,10461
36005028400,0.8607,Bronx,10469,10469
36005028500,0.6686,Bronx,10463,10463
36005028500,0.6686,Bronx,10471,10471
36005028600,0.3769,Bronx,10461,10461
36005028700,0.7957,Bronx,10463,10463
36005028800,0.5798,Bronx,10461,10461
36005028900,0.9326,Bronx,10463,10463
36005029301,0.3865,Bronx,10463,10463
36005029302,0.5445,Bronx,10463,10463
36005029500,0.5736,Bronx,10463,10463
36005029600,0.6058,Bronx,10461,10461
36005029700,0.6679,Bronx,10463,10463
36005030000,0.5821,Bronx,10461,10461
36005030100,0.5571,Bronx,10463,10463
36005030200,0.829,Bronx,10475,10475
36005030701,0.4262,Bronx,10463,10463
36005030701,0.4262,Bronx,10471,10471
36005030900,0.6178,Bronx,10463,10463
36005030900,0.6178,Bronx,10471,10471
36005031000,0.6914,Bronx,10469,10469
36005031200,0.6178,Bronx,10469,10469
36005031400,0.6994,Bronx,10469,10469
36005031600,0.6261,Bronx,10469,10469
36005031800,0.6979,Bronx,10469,10469
36005031900,-999.0,Bronx,10471,10471
36005032300,0.5623,Bronx,10471,10471
36005032400,0.9877,Bronx,10469,10469
36005032600,0.7868,Bronx,10469,10469
36005032800,0.9893,Bronx,10467,10467
36005032800,0.9893,Bronx,10469,10469
36005033000,0.8587,Bronx,10467,10467
36005033201,0.9613,Bronx,10467,10467
36005033202,0.9928,Bronx,10467,10467
36005033400,0.2023,Bronx,10458,10458
36005033400,0.2023,Bronx,10460,10460
36005033400,0.2023,Bronx,10462,10462
36005033400,0.2023,Bronx,10469,10469
36005033500,0.4019,Bronx,10463,10463
36005033500,0.4019,Bronx,10471,10471
36005033600,0.9439,Bronx,10467,10467
36005033700,0.6083,Bronx,10471,10471
36005033800,0.9464,Bronx,10467,10467
36005034000,0.9297,Bronx,10467,10467
36005034000,0.9297,Bronx,10469,10469
36005034200,0.8152,Bronx,10469,10469
36005034300,0.8471,Bronx,10471,10471
36005034400,0.7353,Bronx,10469,10469
36005034500,0.8346,Bronx,10471,10471
36005034800,0.9427,Bronx,10469,10469
36005035000,0.4451,Bronx,10469,10469
36005035100,0.659,Bronx,10471,10471
36005035600,0.5187,Bronx,10469,10469
36005035800,0.7095,Bronx,10469,10469
36005035900,0.9932,Bronx,10460,10460
36005036000,0.7842,Bronx,10469,10469
36005036100,0.9931,Bronx,10460,10460
36005036300,0.997,Bronx,10460,10460
36005036400,0.6525,Bronx,10469,10469
36005036501,0.9994,Bronx,10460,10460
36005036502,0.9913,Bronx,10460,10460
36005036700,0.9954,Bronx,10460,10460
36005036800,0.9377,Bronx,10469,10469
36005036901,0.9984,Bronx,10457,10457
36005036902,0.9991,Bronx,10457,10457
36005037000,0.7673,Bronx,10469,10469
36005037100,0.9863,Bronx,10457,10457
36005037100,0.9863,Bronx,10460,10460
36005037200,0.9437,Bronx,10467,10467
36005037300,0.9972,Bronx,10457,10457
36005037400,0.9515,Bronx,10467,10467
36005037504,0.9994,Bronx,10457,10457
36005037600,0.9764,Bronx,10467,10467
36005037800,0.9824,Bronx,10467,10467
36005037900,0.9961,Bronx,10457,10457
36005038000,0.9699,Bronx,10467,10467
36005038100,0.9805,Bronx,10457,10457
36005038200,0.9248,Bronx,10469,10469
36005038301,0.9931,Bronx,10457,10457
36005038301,0.9931,Bronx,10458,10458
36005038302,0.9989,Bronx,10457,10457
36005038302,0.9989,Bronx,10458,10458
36005038500,0.9983,Bronx,10457,10457
36005038500,0.9983,Bronx,10458,10458
36005038600,0.86,Bronx,10466,10466
36005038600,0.86,Bronx,10469,10469
36005038700,0.9796,Bronx,10458,10458
36005038800,0.9379,Bronx,10469,10469
36005038900,0.985,Bronx,10458,10458
36005039000,0.8466,Bronx,10467,10467
36005039100,0.9677,Bronx,10457,10457
36005039100,0.9677,Bronx,10458,10458
36005039200,0.92,Bronx,10467,10467
36005039300,0.9998,Bronx,10457,10457
36005039300,0.9998,Bronx,10458,10458
36005039300,0.9998,Bronx,10460,10460
36005039400,0.984,Bronx,10466,10466
36005039400,0.984,Bronx,10467,10467
36005039500,0.9981,Bronx,10457,10457
36005039600,0.9805,Bronx,10466,10466
36005039600,0.9805,Bronx,10467,10467
36005039700,0.8218,Bronx,10458,10458
36005039800,0.5294,Bronx,10466,10466
36005039800,0.5294,Bronx,10469,10469
36005039901,0.9985,Bronx,10458,10458
36005039902,0.9973,Bronx,10458,10458
36005040100,0.9723,Bronx,10468,10468
36005040302,0.9879,Bronx,10458,10458
36005040303,0.9972,Bronx,10468,10468
36005040304,0.9676,Bronx,10468,10468
36005040400,0.6814,Bronx,10466,10466
36005040501,0.9634,Bronx,10458,10458
36005040502,0.919,Bronx,10458,10458
36005040600,0.962,Bronx,10466,10466
36005040701,0.9041,Bronx,10468,10468
36005040702,0.9901,Bronx,10458,10458
36005040800,0.9454,Bronx,10466,10466
36005040900,0.7343,Bronx,10463,10463
36005040900,0.7343,Bronx,10468,10468
36005041100,0.8942,Bronx,10468,10468
36005041300,0.951,Bronx,10458,10458
36005041400,0.8622,Bronx,10470,10470
36005041500,0.8817,Bronx,10458,10458
36005041800,0.8986,Bronx,10466,10466
36005041800,0.8986,Bronx,10470,10470
36005041900,0.9741,Bronx,10467,10467
36005042000,0.987,Bronx,10466,10466
36005042100,0.9832,Bronx,10467,10467
36005042200,0.8658,Bronx,10466,10466
36005042300,0.9813,Bronx,10467,10467
36005042400,0.7626,Bronx,10466,10466
36005042500,0.9737,Bronx,10458,10458
36005042500,0.9737,Bronx,10467,10467
36005042600,0.5118,Bronx,10466,10466
36005042800,0.4374,Bronx,10466,10466
36005042901,0.9351,Bronx,10467,10467
36005042902,0.9907,Bronx,10467,10467
36005043000,0.8861,Bronx,10466,10466
36005043100,0.9997,Bronx,10467,10467
36005043400,0.9547,Bronx,10466,10466
36005043400,0.9547,Bronx,10470,10470
36005043500,0.9873,Bronx,10467,10467
36005043500,0.9873,Bronx,10470,10470
36005043500,0.9873,Bronx,10471,10471
36005043600,0.6131,Bronx,10466,10466
36005044200,0.9017,Bronx,10466,10466
36005044200,0.9017,Bronx,10470,10470
36005044400,0.756,Bronx,10466,10466
36005044800,0.2604,Bronx,10466,10466
36005044901,0.426,Bronx,10470,10470
36005044902,0.5925,Bronx,10470,10470
36005045101,0.3088,Bronx,10470,10470
36005045102,0.5107,Bronx,10470,10470
36005045600,0.6865,Bronx,10464,10464
36005045600,0.6865,Bronx,10466,10466
36005045600,0.6865,Bronx,10475,10475
36005045800,0.9894,Bronx,10466,10466
36005046000,0.9915,Bronx,10466,10466
36005046000,0.9915,Bronx,10469,10469
36005046201,0.8603,Bronx,10475,10475
36005046202,0.9936,Bronx,10469,10469
36005046202,0.9936,Bronx,10475,10475
36005048400,0.6494,Bronx,10466,10466
36005050400,0.799,Bronx,10464,10464
36005051600,0.4588,Bronx,10464,10464
36047000100,0.5486,Kings,11201,11201
36047000200,0.9391,Kings,11220,11220
36047000200,0.9391,Kings,11232,11232
36047000301,0.1861,Kings,11201,11201
36047000501,0.3599,Kings,11201,11201
36047000502,0.3851,Kings,11201,11201
36047000700,0.2159,Kings,11201,11201
36047000900,0.2512,Kings,11201,11201
36047001100,0.1531,Kings,11201,11201
36047001300,0.4539,Kings,11201,11201
36047001500,0.7403,Kings,11201,11201
36047001800,-999.0,Kings,11220,11220
36047001800,-999.0,Kings,11232,11232
36047002000,0.7786,Kings,11220,11220
36047002100,0.2801,Kings,11201,11201
36047002200,0.9738,Kings,11220,11220
36047002300,0.9929,Kings,11201,11201
36047002901,0.9942,Kings,11201,11201
36047002901,0.9942,Kings,11205,11205
36047003000,0.4968,Kings,11220,11220
36047003100,0.6095,Kings,11201,11201
36047003300,0.1996,Kings,11201,11201
36047003300,0.1996,Kings,11217,11217
36047003400,0.6904,Kings,11209,11209
36047003400,0.6904,Kings,11220,11220
36047003500,0.585,Kings,11217,11217
36047003600,0.5985,Kings,11209,11209
36047003700,0.2471,Kings,11201,11201
36047003700,0.2471,Kings,11217,11217
36047003800,0.448,Kings,11209,11209
36047003900,0.3504,Kings,11217,11217
36047004100,0.415,Kings,11201,11201
36047004100,0.415,Kings,11217,11217
36047004300,0.3327,Kings,11201,11201
36047004400,0.2244,Kings,11209,11209
36047004500,0.1849,Kings,11201,11201
36047004600,0.2591,Kings,11209,11209
36047004700,0.3036,Kings,11201,11201
36047004700,0.3036,Kings,11231,11231
36047004900,0.4286,Kings,11201,11201
36047004900,0.4286,Kings,11231,11231
36047005000,0.2495,Kings,11209,11209
36047005100,0.1614,Kings,11231,11231
36047005201,0.747,Kings,11209,11209
36047005202,0.4213,Kings,11209,11209
36047005300,0.5906,Kings,11231,11231
36047005400,0.513,Kings,11209,11209
36047005601,0.4646,Kings,11209,11209
36047005602,0.4911,Kings,11209,11209
36047005800,0.7335,Kings,11209,11209
36047005900,0.4597,Kings,11231,11231
36047006000,0.4506,Kings,11209,11209
36047006200,0.6771,Kings,11209,11209
36047006300,0.1991,Kings,11231,11231
36047006400,0.5717,Kings,11209,11209
36047006500,0.1163,Kings,11231,11231
36047006600,0.633,Kings,11209,11209
36047006700,0.1078,Kings,11231,11231
36047006800,0.8831,Kings,11209,11209
36047006800,0.8831,Kings,11220,11220
36047006900,0.2171,Kings,11201,11201
36047006900,0.2171,Kings,11231,11231
36047007000,0.7419,Kings,11220,11220
36047007100,0.9283,Kings,11217,11217
36047007200,0.9459,Kings,11220,11220
36047007400,0.9435,Kings,11220,11220
36047007500,0.2373,Kings,11217,11217
36047007500,0.2373,Kings,11231,11231
36047007600,0.8522,Kings,11220,11220
36047007700,0.4493,Kings,11231,11231
36047007800,0.8469,Kings,11220,11220
36047008000,0.7594,Kings,11220,11220
36047008200,0.9038,Kings,11220,11220
36047008200,0.9038,Kings,11232,11232
36047008400,0.8731,Kings,11232,11232
36047008500,0.9953,Kings,11231,11231
36047008800,0.4945,Kings,11232,11232
36047009000,0.9039,Kings,11232,11232
36047009200,0.9461,Kings,11220,11220
36047009200,0.9461,Kings,11232,11232
36047009400,0.867,Kings,11220,11220
36047009600,0.8049,Kings,11220,11220
36047009800,0.848,Kings,11220,11220
36047010000,0.9045,Kings,11220,11220
36047010100,0.7241,Kings,11232,11232
36047010200,0.8124,Kings,11220,11220
36047010400,0.7562,Kings,11220,11220
36047010600,0.7131,Kings,11220,11220
36047010800,0.7976,Kings,11220,11220
36047011000,0.8456,Kings,11219,11219
36047011200,0.9582,Kings,11219,11219
36047011400,0.9818,Kings,11219,11219
36047011600,0.8916,Kings,11219,11219
36047011600,0.8916,Kings,11220,11220
36047011700,0.3253,Kings,11215,11215
36047011800,0.8267,Kings,11219,11219
36047011800,0.8267,Kings,11220,11220
36047011900,0.5396,Kings,11215,11215
36047011900,0.5396,Kings,11217,11217
36047012000,0.8064,Kings,11219,11219
36047012000,0.8064,Kings,11220,11220
36047012100,0.2527,Kings,11215,11215
36047012200,0.8835,Kings,11220,11220
36047012600,0.6727,Kings,11220,11220
36047012700,0.8674,Kings,11217,11217
36047012801,0.8874,Kings,11219,11219
36047012801,0.8874,Kings,11220,11220
36047012901,0.2103,Kings,11217,11217
36047012902,0.4062,Kings,11217,11217
36047013000,0.8298,Kings,11209,11209
36047013000,0.8298,Kings,11220,11220
36047013100,0.2943,Kings,11217,11217
36047013200,0.8296,Kings,11220,11220
36047013200,0.8296,Kings,11228,11228
36047013300,0.1867,Kings,11215,11215
36047013400,0.6275,Kings,11209,11209
36047013500,0.2965,Kings,11215,11215
36047013600,0.6072,Kings,11209,11209
36047013700,0.538,Kings,11215,11215
36047013800,0.6844,Kings,11209,11209
36047013900,0.2482,Kings,11215,11215
36047014000,0.5948,Kings,11228,11228
36047014100,0.4785,Kings,11215,11215
36047014200,0.5131,Kings,11209,11209
36047014300,0.4824,Kings,11215,11215
36047014300,0.4824,Kings,11232,11232
36047014500,0.443,Kings,11215,11215
36047014500,0.443,Kings,11232,11232
36047014700,0.5649,Kings,11215,11215
36047014800,0.4847,Kings,11228,11228
36047014900,0.4362,Kings,11215,11215
36047015000,0.4115,Kings,11228,11228
36047015100,0.3683,Kings,11215,11215
36047015200,0.6334,Kings,11209,11209
36047015200,0.6334,Kings,11228,11228
36047015300,0.2587,Kings,11215,11215
36047015400,-999.0,Kings,11209,11209
36047015400,-999.0,Kings,11228,11228
36047015500,0.2133,Kings,11215,11215
36047015700,0.148,Kings,11215,11215
36047015900,0.2334,Kings,11217,11217
36047015900,0.2334,Kings,11238,11238
36047016000,0.4798,Kings,11209,11209
36047016100,0.3719,Kings,11217,11217
36047016200,0.4903,Kings,11209,11209
36047016300,0.4804,Kings,11238,11238
36047016400,0.4568,Kings,11209,11209
36047016400,0.4568,Kings,11425,11209
36047016500,0.1915,Kings,11215,11215
36047016600,0.1347,Kings,11228,11228
36047016700,0.2431,Kings,11215,11215
36047016800,0.4451,Kings,11214,11214
36047016800,0.4451,Kings,11228,11228
36047016900,0.2767,Kings,11215,11215
36047017000,0.6356,Kings,11228,11228
36047017100,0.3467,Kings,11215,11215
36047017100,0.3467,Kings,11218,11218
36047017200,0.5917,Kings,11214,11214
36047017200,0.5917,Kings,11228,11228
36047017400,0.6456,Kings,11214,11214
36047017500,-999.0,Kings,11215,11215
36047017600,0.8427,Kings,11214,11214
36047017700,-999.0,Kings,11218,11218
36047017700,-999.0,Kings,11225,11225
36047017700,-999.0,Kings,11238,11238
36047017800,0.8513,Kings,11214,11214
36047017900,0.8601,Kings,11217,11217
36047017900,0.8601,Kings,11238,11238
36047018000,0.6719,Kings,11214,11214
36047018100,0.3675,Kings,11205,11205
36047018100,0.3675,Kings,11217,11217
36047018100,0.3675,Kings,11238,11238
36047018200,0.7107,Kings,11214,11214
36047018300,0.1746,Kings,11205,11205
36047018400,0.5861,Kings,11228,11228
36047018501,0.9954,Kings,11205,11205
36047018600,0.6493,Kings,11228,11228
36047018700,0.6293,Kings,11205,11205
36047018800,0.5959,Kings,11204,11204
36047018800,0.5959,Kings,11214,11214
36047018800,0.5959,Kings,11228,11228
36047019000,0.785,Kings,11219,11219
36047019000,0.785,Kings,11228,11228
36047019100,0.4399,Kings,11205,11205
36047019200,0.8589,Kings,11219,11219
36047019300,0.853,Kings,11205,11205
36047019300,0.853,Kings,11238,11238
36047019400,0.9228,Kings,11219,11219
36047019500,0.2216,Kings,11205,11205
36047019600,0.9218,Kings,11219,11219
36047019600,0.9218,Kings,11228,11228
36047019700,0.3895,Kings,11205,11205
36047019700,0.3895,Kings,11238,11238
36047019800,0.5873,Kings,11228,11228
36047019900,0.43,Kings,11238,11238
36047020000,0.7256,Kings,11228,11228
36047020100,0.2118,Kings,11238,11238
36047020200,0.4788,Kings,11228,11228
36047020300,0.5684,Kings,11238,11238
36047020400,0.5684,Kings,11228,11228
36047020500,0.2323,Kings,11238,11238
36047020600,0.5955,Kings,11228,11228
36047020700,0.2071,Kings,11238,11238
36047020800,0.8517,Kings,11228,11228
36047021000,0.8039,Kings,11219,11219
36047021100,0.8168,Kings,11205,11205
36047021200,0.8013,Kings,11219,11219
36047021300,0.5891,Kings,11225,11225
36047021400,0.6724,Kings,11219,11219
36047021500,0.6681,Kings,11238,11238
36047021600,0.7603,Kings,11219,11219
36047021700,0.7255,Kings,11238,11238
36047021800,0.7243,Kings,11219,11219
36047021900,0.6911,Kings,11216,11216
36047021900,0.6911,Kings,11238,11238
36047022000,0.8633,Kings,11219,11219
36047022100,0.6826,Kings,11216,11216
36047022100,0.6826,Kings,11238,11238
36047022200,0.8042,Kings,11219,11219
36047022400,0.7294,Kings,11218,11218
36047022400,0.7294,Kings,11219,11219
36047022600,0.7699,Kings,11218,11218
36047022700,0.4665,Kings,11216,11216
36047022700,0.4665,Kings,11238,11238
36047022800,0.9064,Kings,11218,11218
36047022900,0.4385,Kings,11216,11216
36047022900,0.4385,Kings,11238,11238
36047023000,0.7196,Kings,11218,11218
36047023000,0.7196,Kings,11219,11219
36047023100,0.428,Kings,11238,11238
36047023200,0.6944,Kings,11218,11218
36047023200,0.6944,Kings,11219,11219
36047023300,0.8392,Kings,11205,11205
36047023300,0.8392,Kings,11216,11216
36047023300,0.8392,Kings,11238,11238
36047023400,0.7649,Kings,11219,11219
36047023500,0.7755,Kings,11205,11205
36047023600,0.7264,Kings,11219,11219
36047023800,0.7985,Kings,11219,11219
36047024000,0.89,Kings,11219,11219
36047024100,0.6723,Kings,11205,11205
36047024200,0.6285,Kings,11204,11204
36047024200,0.6285,Kings,11219,11219
36047024300,0.6995,Kings,11205,11205
36047024300,0.6995,Kings,11216,11216
36047024400,0.642,Kings,11204,11204
36047024500,0.4663,Kings,11216,11216
36047024600,0.7496,Kings,11204,11204
36047024700,0.7312,Kings,11216,11216
36047024800,0.7539,Kings,11204,11204
36047024900,0.5272,Kings,11216,11216
36047025000,0.7396,Kings,11219,11219
36047025100,0.9025,Kings,11216,11216
36047025200,0.7952,Kings,11204,11204
36047025300,0.7053,Kings,11206,11206
36047025300,0.7053,Kings,11216,11216
36047025400,0.8483,Kings,11204,11204
36047025500,0.9797,Kings,11206,11206
36047025600,0.9081,Kings,11204,11204
36047025700,0.7842,Kings,11206,11206
36047025800,0.9,Kings,11204,11204
