modzcta,community-healthcare-centers,diagnostic-treatment-centers,long-term-care-facilities,hospitals,avg
10030,949.0874492320127,1718.4663471017984,1706.8103881437255,501.79030717053274,1219.0386229120172
10031,1528.402791569251,2252.0362915104906,2586.59917815178,1483.8598872317802,1962.7245371158256
10032,2950.5076321498295,1936.90369217265,3978.999888297454,2694.0697708087337,2890.1202458571665
10033,1459.1531740074672,1972.074477719871,5305.820581762799,3803.5120144722264,3135.1400619905908
10034,641.3677670214466,3453.3281451918647,7268.126696610474,3881.6247119645427,3811.1118301970823
10035,405.0730520661465,2003.4871161850854,1280.1526163614528,2288.725124556255,1494.3594772922352
10036,3483.075985145871,5114.317063001509,4192.013616424268,7493.8018188913775,5070.8021208657565
10037,1045.1970221923073,1616.504559387477,1146.423153372615,249.17990159995827,1014.3261591380893
10038,1434.339312804018,1289.522105918682,1289.522105918682,5170.577214779981,2295.990184855341
10039,2422.6721236774265,1489.063639648998,3113.2944289184866,1806.4604367288673,2207.8726572434443
10040,619.0689157216907,2604.860436702464,6205.302316500571,4612.907830150948,3510.5348747689186
10044,3465.725987630363,4814.882139480901,1141.980266053556,5930.538619354125,3838.2817531297364
10065,3957.0095697724914,4576.190990898374,1872.4720185470524,5915.516204114379,4080.2971958330745
10069,5231.761408987919,4486.485372349857,4093.6721052452053,6088.125654686016,4975.01113531725
10075,3432.2220605111465,3564.887875361394,1184.8024515489305,4824.854126531195,3251.6916284881663
10128,2405.2260280842174,2650.2112650481904,1396.886345768097,3805.633865000397,2564.4893759752254
10280,2230.1141472015133,2472.5139778316134,2472.5139778316134,6344.00546930492,3379.7868930424147
10282,1732.6854453562992,2330.9834545100603,2330.9834545100603,6399.21058145958,3198.465733959
10301,5055.7325811259,1809.9494298858847,5078.523510363549,12068.743899986113,6003.237355340361
10302,1618.5221247035245,5212.791115720846,4351.856457305488,15459.02989525785,6660.549898246927
10303,1322.3697378851537,7838.018329594427,5470.091941246648,18032.06707232887,8165.636770263774
10304,5656.4954565777325,2067.5627259736593,3589.36218987262,11182.02035499642,5623.860181855109
10305,7594.697814912244,2705.669023432411,4833.240837864676,9421.362999448951,6138.7426689145705
10306,6543.3549533091245,6701.462901877884,2300.121504976192,13698.19354844315,7310.783227151587
10307,14891.581296961444,18484.353641928305,12999.224694471144,24815.73487198893,17797.723626337454
10308,8251.344589963172,9750.79036761893,4706.195008151528,16172.749934902835,9720.269975159115
10309,11827.599183646405,15567.148861083107,10034.029252417746,22489.389974673362,14979.541817955156
10310,3439.5554500203816,3530.026898931133,4728.071799592537,13808.931828444496,6376.6464942471375
10312,9217.227176449147,12079.928900919145,6645.2144255003595,18912.928280042754,11713.824695727852
10314,3068.6132127815235,7831.685033789598,3015.228222265118,17131.991584860858,7761.879513424274
10451,2403.5917521377455,1356.9872354264814,2441.4955160098893,409.72811797054663,1652.9506553861659
10452,2581.2723087433324,310.4836525780984,4092.9552094386386,2258.7063324709698,2310.8543758077594
10453,1359.9900814757937,1868.696149908809,5944.288458240714,4021.4478430520917,3298.605633169352
10454,1552.0391798043418,520.6047108282055,2080.7244877939756,1439.6653445232253,1398.258430737437
10455,2709.076052763315,792.0610237561799,3031.707375856042,1357.2164140866275,1972.5152166155412
10456,1967.6165065689936,1230.7833448676174,4077.0062523680413,1978.824619516046,2313.557680830175
10457,511.9009243973427,2176.436667082455,6066.794979707873,3964.667103441078,3179.949918657187
10458,2111.195641939256,3973.1794992078394,7974.146889343025,2059.8438625067824,4029.5914732492256
10459,2027.3627537288328,2560.9626027864083,4782.584769969202,2822.928515573761,3048.459660514551
10460,1255.409248193901,3471.2022751184218,6737.496769818392,3180.759384099092,3661.2169193074515
10461,3323.865359704808,6818.945492352687,9804.401880001375,909.0631196907322,5214.0689629374
10462,2986.7251107680704,5224.13440346978,8232.248305498431,1694.9337468042104,4534.510391635123
10463,2630.620435540381,5083.897328364316,9118.91932518293,2117.2294505191303,4737.66663490169
10464,4699.067875613261,10578.167014945258,13808.571737163784,4006.429957241517,8273.059146240956
10465,6325.6251663060775,7986.42758412577,10236.736478047602,3915.0354322798785,7115.956165189832
10466,2086.9388070738496,8722.052746237872,12639.894155140242,3214.4601329307043,6665.836460345667
10467,1555.8605151318864,6308.034301330629,10339.417550368273,630.0253321838564,4708.334424753662
10468,2199.8952803469974,3936.0179991633177,8025.789593068865,2062.579178994281,4056.070512893365
10469,1093.2167863912875,7145.308078534574,10782.092036309432,1580.677719496937,5150.323655183057
10470,2550.446185620946,7957.346652610733,12021.759753799746,2069.4588030296927,6149.75284876528
10471,4631.892963449844,7200.630303045575,11222.671756190884,2720.5948131189316,6443.947458951309
