MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_RATE,COVID_DEATH_RATE,deathtocase,lat,lng
11418,Richmond Hill,4203.74,282.02,0.06708787888879902,40.70023398390946,-73.836064540615
11419,Richmond Hill/South Ozone Park,3350.18,206.16,0.06153699204221863,40.68867833606934,-73.82290548137632
11420,South Ozone Park,3861.18,225.78,0.05847435240004351,40.67351811960928,-73.81780824323788
11421,Woodhaven,4187.32,257.18,0.061418759492945375,40.69405005637344,-73.85866960380919
11422,Rosedale,3788.32,209.95,0.05542034463825653,40.66081294339804,-73.7360784442728
11423,Hollis/Holliswood,4531.38,350.05,0.07725019751157484,40.71559608428316,-73.76845568954832
11426,Bellerose,3441.85,168.62,0.048991094905356136,40.73652008341531,-73.72238190006483
11427,Bellerose/Hollis Hills/Holliswood,4237.93,233.32,0.05505518024129704,40.7309181639563,-73.7456093492613
11428,Queens Village,4488.47,296.0,0.0659467480009892,40.72101462644993,-73.7421948711905
11429,Queens Village,3832.97,236.26,0.061638885772651496,40.71396893916601,-73.73331638135595
11432,Hillcrest/Jamaica Estates/Jamaica Hills,4276.21,426.3,0.099691081588603,40.715357892651475,-73.79306495843556
11433,Jamaica,3428.08,224.52,0.06549438752887915,40.698227458419986,-73.78709840446612
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,3858.4,301.06,0.07802716151772755,40.65686444670272,-73.78338459367053
11435,Briarwood/Jamaica,3827.78,261.92,0.06842608509370968,40.70128901923497,-73.80961947850157
11436,South Jamaica/South Ozone Park,3482.59,239.49,0.06876778489572416,40.6758161584005,-73.79661357758587
11691,Edgemere/Far Rockaway,5137.88,569.88,0.11091734334005465,40.60132941338052,-73.76135910415132
11692,Arverne/Edgemere,3851.8,451.75,0.11728282880731086,40.5927973858467,-73.79219583977951
11693,Arverne/Broad Channel,3519.53,228.85,0.06502288657860567,40.596457309804165,-73.81671090698718
11694,Belle Harbor-Neponsit/Rockaway Park,4788.4,433.12,0.0904519254865926,40.57759893303544,-73.84455125213255
11697,Breezy Point,5983.58,147.38,0.024630739456980605,40.55906730906841,-73.90719766100317
