Object ID,ZCTA5,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Hispanic or Latino Householder",Total Households,Households with any self-employment income in past 12 months,Households with no self-employment income in past 12 months,Percent of households with any self-employment income,Shape Area,Shape Length
48199,10451,36005005902,69637,0,Census Tract 59.02,New York,Bronx County,29800.0,,22100.0,41944.0,29886.0,40219.0,,,,28938.0,,121875.0,28003.0,1017.0,81.0,936.0,8.0,121729.30078125,2083.80308895687
48200,10460,36005006000,315748,0,Census Tract 60,New York,Bronx County,33828.0,,32250.0,36042.0,37813.0,31136.0,,248438.0,,30909.0,,,33636.0,385.0,75.0,310.0,19.5,552174.80859375,3164.9106567489303
48201,10451,36005006100,242362,0,Census Tract 61,New York,Bronx County,46554.0,,75625.0,51500.0,39005.0,46196.0,,,,50454.0,115197.0,,34797.0,2143.0,27.0,2116.0,1.3,423640.12109375,3358.04672175313
48202,10472,36005006200,192942,0,Census Tract 62,New York,Bronx County,26184.0,,25462.0,34375.0,18664.0,25942.0,,,,27580.0,,,27065.0,2362.0,147.0,2215.0,6.2,337370.8359375,2910.20250703137
48203,10451,36005006300,1046237,9963,Census Tract 63,New York,Bronx County,35827.0,,46091.0,33750.0,19605.0,35772.0,,,,33415.0,55417.0,76250.0,34512.0,1891.0,160.0,1731.0,8.5,1793845.22265625,8388.45729342265
48204,10472,36005006400,168249,0,Census Tract 64,New York,Bronx County,34604.0,,32988.0,30750.0,38676.0,27500.0,,,,39505.0,35156.0,,37594.0,1337.0,105.0,1232.0,7.9,294191.28515625,2351.12302806701
48205,10451,36005006500,261808,0,Census Tract 65,New York,Bronx County,23737.0,,21568.0,26389.0,18233.0,15259.0,,66667.0,,25750.0,,18567.0,25776.0,1948.0,50.0,1898.0,2.6,457567.75390625,3951.1272632859495
48206,10451,36005006700,212430,0,Census Tract 67,New York,Bronx County,22662.0,46399.0,17490.0,24949.0,18516.0,16472.0,,,,24028.0,,,24027.0,2336.0,135.0,2201.0,5.8,371291.078125,2629.39409586561
48207,10472,36005006800,154374,0,Census Tract 68,New York,Bronx County,52228.0,,41063.0,56563.0,66295.0,53636.0,,115781.0,,49545.0,133190.0,,51094.0,1016.0,69.0,947.0,6.8,269893.3671875,2244.35394162728
48208,10451,36005006900,187977,0,Census Tract 69,New York,Bronx County,30089.0,,34089.0,31992.0,,26222.0,,,,34569.0,,,31594.0,2739.0,196.0,2543.0,7.2,328576.015625,2631.9937899696
