Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Civilian Employed Population 16 Years and Over in Households that Have a Computer,Total Civilian Household Population 16 Years and Over,Population 16 Years and Over in the Civilian Labor Force in Households,Civilian Employed Population 16 Years and Over in Households,Civilian Employed Population 16 Years and Over in Households that Have a Computer with Dial-up Internet Subscription Alone,Civilian Employed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have No Computer,Civilian Unemployed Population 16 Years and Over in Households,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with dial-up Internet Subscription Alone,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with dial-up Internet Subscription Alone,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with a Broadband Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer without an Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have No Computer,Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Employed Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Percent of Population 16 Years and Over who are Not in the Labor Force in Households that Have No Computer,Shape Area,Shape Length
49609,10010,10010,36061006600,174705,0,Census Tract 66,New York,New York County,5965,9238,6425,6275,0,5594,371,310,150,150,0,99,51,0,2813,1953,103,1740,110,860,1170,12.7,4.9,0.0,30.6,304627.28125,2212.14400103832
49609,10016,10016,36061006600,174705,0,Census Tract 66,New York,New York County,5965,9238,6425,6275,0,5594,371,310,150,150,0,99,51,0,2813,1953,103,1740,110,860,1170,12.7,4.9,0.0,30.6,304627.28125,2212.14400103832
49610,10014,10014,36061006700,168478,0,Census Tract 67,New York,New York County,3836,5034,4037,3886,0,3735,101,50,151,151,0,151,0,0,997,767,0,679,88,230,280,5.6,1.3,0.0,23.1,293688.28125,2198.8592281654
49611,10010,10010,36061006800,174444,0,Census Tract 68,New York,New York County,4588,5935,4942,4626,0,4523,65,38,316,316,0,316,0,0,993,780,0,780,0,213,251,4.2,0.8,0.0,21.5,304176.390625,2304.95696348154
49611,10016,10016,36061006800,174444,0,Census Tract 68,New York,New York County,4588,5935,4942,4626,0,4523,65,38,316,316,0,316,0,0,993,780,0,780,0,213,251,4.2,0.8,0.0,21.5,304176.390625,2304.95696348154
49612,10014,10014,36061006900,220486,275547,Census Tract 69,New York,New York County,1450,1923,1499,1475,0,1397,53,25,24,6,0,6,0,18,424,416,0,406,10,8,51,2.7,1.7,75.0,1.9,394067.28125,3839.2510573975105
49613,10016,10016,36061007000,177329,0,Census Tract 70,New York,New York County,5379,7425,5538,5418,0,5237,142,39,120,120,0,120,0,0,1887,1692,0,1545,147,195,234,3.2,0.7,0.0,10.3,309233.921875,2228.1209506443697
49614,10011,10011,36061007100,164996,0,Census Tract 71,New York,New York County,3799,4741,3891,3816,0,3769,30,17,75,75,0,75,0,0,850,734,30,668,36,116,133,2.8,0.4,0.0,13.6,287666.40234375,2656.84852051156
49614,10014,10014,36061007100,164996,0,Census Tract 71,New York,New York County,3799,4741,3891,3816,0,3769,30,17,75,75,0,75,0,0,850,734,30,668,36,116,133,2.8,0.4,0.0,13.6,287666.40234375,2656.84852051156
49615,10016,10016,36061007200,175015,0,Census Tract 72,New York,New York County,4944,6702,5335,5164,37,4840,67,220,171,171,0,171,0,0,1367,1259,0,1175,84,108,328,4.9,4.3,0.0,7.9,305217.875,2305.2853140945103
49616,10014,10014,36061007300,165299,0,Census Tract 73,New York,New York County,3995,5422,4331,3995,25,3970,0,0,336,336,44,213,79,0,1091,1056,0,1056,0,35,35,0.6,0.0,0.0,3.2,288178.78515625,2315.50398607368
49617,10016,10016,36061007400,174085,0,Census Tract 74,New York,New York County,2777,3316,2827,2777,0,2707,70,0,50,50,0,50,0,0,489,343,0,310,33,146,146,4.4,0.0,0.0,29.9,303602.55078125,2305.1129775807603
49618,10014,10014,36061007500,165732,283835,Census Tract 75,New York,New York County,2481,3308,2657,2481,0,2393,88,0,176,159,0,159,0,17,651,575,0,575,0,76,93,2.8,0.0,9.7,11.7,313420.94140625,4034.71257766055
49619,10001,10001,36061007600,174274,0,Census Tract 76,New York,New York County,1441,1867,1498,1447,10,1382,49,6,51,51,0,51,0,0,369,325,15,310,0,44,50,2.7,0.4,0.0,11.9,303951.046875,2302.78459526695
49620,10011,10011,36061007700,178798,0,Census Tract 77,New York,New York County,4408,5735,4617,4408,0,4316,92,0,209,209,0,209,0,0,1118,897,25,827,45,221,221,3.9,0.0,0.0,19.8,311750.3125,2323.97210408151
49620,10014,10014,36061007700,178798,0,Census Tract 77,New York,New York County,4408,5735,4617,4408,0,4316,92,0,209,209,0,209,0,0,1118,897,25,827,45,221,221,3.9,0.0,0.0,19.8,311750.3125,2323.97210408151
49621,10016,10016,36061007800,177474,0,Census Tract 78,New York,New York County,6002,8082,6411,6051,0,6002,0,49,360,289,0,289,0,71,1671,1502,0,1423,79,169,289,3.6,0.8,19.7,10.1,309513.34375,2227.2403093616
49622,10014,10014,36061007900,285955,502030,Census Tract 79,New York,New York County,2146,3815,2314,2146,0,2068,78,0,168,168,0,152,16,0,1501,1393,0,1393,0,108,108,2.8,0.0,0.0,7.2,511073.13671875,5051.9603450674895
49623,10016,10016,36061008000,172626,0,Census Tract 80,New York,New York County,3379,4533,3484,3415,0,3259,120,36,69,69,0,69,0,0,1049,796,0,719,77,253,289,6.4,1.1,0.0,24.1,301088.53125,2287.6226830896803
49623,10017,10017,36061008000,172626,0,Census Tract 80,New York,New York County,3379,4533,3484,3415,0,3259,120,36,69,69,0,69,0,0,1049,796,0,719,77,253,289,6.4,1.1,0.0,24.1,301088.53125,2287.6226830896803
49623,10168,10017,36061008000,172626,0,Census Tract 80,New York,New York County,3379,4533,3484,3415,0,3259,120,36,69,69,0,69,0,0,1049,796,0,719,77,253,289,6.4,1.1,0.0,24.1,301088.53125,2287.6226830896803
49624,10011,10011,36061008100,174287,0,Census Tract 81,New York,New York County,5142,7110,5538,5325,34,4985,123,183,213,188,0,188,0,25,1572,1299,38,1261,0,273,481,6.8,3.4,11.7,17.4,303902.51953125,2286.7780005749105
49625,10016,10016,36061008200,172401,0,Census Tract 82,New York,New York County,2461,2965,2479,2461,0,2461,0,0,18,18,0,18,0,0,486,486,0,408,78,0,0,0.0,0.0,0.0,0.0,300707.4453125,2287.34864984756
49625,10017,10017,36061008200,172401,0,Census Tract 82,New York,New York County,2461,2965,2479,2461,0,2461,0,0,18,18,0,18,0,0,486,486,0,408,78,0,0,0.0,0.0,0.0,0.0,300707.4453125,2287.34864984756
49625,10165,10017,36061008200,172401,0,Census Tract 82,New York,New York County,2461,2965,2479,2461,0,2461,0,0,18,18,0,18,0,0,486,486,0,408,78,0,0,0.0,0.0,0.0,0.0,300707.4453125,2287.34864984756
49626,10011,10011,36061008300,174158,0,Census Tract 83,New York,New York County,2222,3525,2530,2222,0,2222,0,0,308,308,0,308,0,0,995,659,0,643,16,336,336,9.5,0.0,0.0,33.8,303694.0859375,2286.10866801953
49626,10014,10014,36061008300,174158,0,Census Tract 83,New York,New York County,2222,3525,2530,2222,0,2222,0,0,308,308,0,308,0,0,995,659,0,643,16,336,336,9.5,0.0,0.0,33.8,303694.0859375,2286.10866801953
49627,10018,10018,36061008400,173067,0,Census Tract 84,New York,New York County,1380,1817,1432,1380,0,1343,37,0,52,52,0,52,0,0,385,385,0,357,28,0,0,0.0,0.0,0.0,0.0,301880.71875,2291.4977087622196
49627,10036,10036,36061008400,173067,0,Census Tract 84,New York,New York County,1380,1817,1432,1380,0,1343,37,0,52,52,0,52,0,0,385,385,0,357,28,0,0,0.0,0.0,0.0,0.0,301880.71875,2291.4977087622196
49628,10016,10016,36061008601,125340,499842,Census Tract 86.01,New York,New York County,2177,2762,2266,2198,0,2121,56,21,68,68,0,68,0,0,496,475,0,459,16,21,42,1.5,1.0,0.0,4.2,220166.28125,2772.25658578587
49628,10017,10017,36061008601,125340,499842,Census Tract 86.01,New York,New York County,2177,2762,2266,2198,0,2121,56,21,68,68,0,68,0,0,496,475,0,459,16,21,42,1.5,1.0,0.0,4.2,220166.28125,2772.25658578587
49629,10017,10017,36061008602,106753,317001,Census Tract 86.02,New York,New York County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,196872.6796875,2007.7660290030103
49630,10017,10017,36061008603,116670,153941,Census Tract 86.03,New York,New York County,2541,3835,2714,2557,0,2415,126,16,157,157,0,157,0,0,1121,1054,0,1001,53,67,83,2.2,0.6,0.0,6.0,228080.31640625,2051.27843548325
49630,10022,10022,36061008603,116670,153941,Census Tract 86.03,New York,New York County,2541,3835,2714,2557,0,2415,126,16,157,157,0,157,0,0,1121,1054,0,1001,53,67,83,2.2,0.6,0.0,6.0,228080.31640625,2051.27843548325
49631,10011,10011,36061008700,165443,0,Census Tract 87,New York,New York County,5256,6528,5543,5445,0,5227,29,189,98,98,0,98,0,0,985,822,0,806,16,163,352,5.4,3.5,0.0,16.5,288498.97265625,2244.63719107383
49632,10016,10016,36061008800,179256,0,Census Tract 88,New York,New York County,4610,6603,4844,4610,0,4366,244,0,234,234,0,234,0,0,1759,1651,0,1651,0,108,108,1.6,0.0,0.0,6.1,312653.39453125,2258.8759461744103
49632,10017,10017,36061008800,179256,0,Census Tract 88,New York,New York County,4610,6603,4844,4610,0,4366,244,0,234,234,0,234,0,0,1759,1651,0,1651,0,108,108,1.6,0.0,0.0,6.1,312653.39453125,2258.8759461744103
49633,10011,10011,36061008900,165578,0,Census Tract 89,New York,New York County,3264,4285,3461,3313,0,3220,44,49,148,86,0,86,0,62,824,721,0,721,0,103,214,5.0,1.5,41.9,12.5,288756.109375,2244.88540648553
49634,10017,10017,36061009000,174693,0,Census Tract 90,New York,New York County,5513,6918,5566,5513,0,5167,346,0,53,53,0,53,0,0,1352,1286,0,1231,55,66,66,1.0,0.0,0.0,4.9,304720.40625,2233.76520887698
49635,10001,10001,36061009100,179099,0,Census Tract 91,New York,New York County,4530,5703,4732,4596,0,4406,124,66,136,136,0,136,0,0,971,971,41,790,140,0,66,1.2,1.4,0.0,0.0,312333.265625,2311.1891342515
49635,10011,10011,36061009100,179099,0,Census Tract 91,New York,New York County,4530,5703,4732,4596,0,4406,124,66,136,136,0,136,0,0,971,971,41,790,140,0,66,1.2,1.4,0.0,0.0,312333.265625,2311.1891342515
49636,10017,10017,36061009200,197023,0,Census Tract 92,New York,New York County,1234,1532,1277,1241,0,1165,69,7,36,36,0,28,8,0,255,229,0,229,0,26,33,2.2,0.6,0.0,10.2,343684.7265625,2487.7022320208102
49636,10167,10017,36061009200,197023,0,Census Tract 92,New York,New York County,1234,1532,1277,1241,0,1165,69,7,36,36,0,28,8,0,255,229,0,229,0,26,33,2.2,0.6,0.0,10.2,343684.7265625,2487.7022320208102
49636,10169,10017,36061009200,197023,0,Census Tract 92,New York,New York County,1234,1532,1277,1241,0,1165,69,7,36,36,0,28,8,0,255,229,0,229,0,26,33,2.2,0.6,0.0,10.2,343684.7265625,2487.7022320208102
49636,10170,10017,36061009200,197023,0,Census Tract 92,New York,New York County,1234,1532,1277,1241,0,1165,69,7,36,36,0,28,8,0,255,229,0,229,0,26,33,2.2,0.6,0.0,10.2,343684.7265625,2487.7022320208102
49636,10171,10017,36061009200,197023,0,Census Tract 92,New York,New York County,1234,1532,1277,1241,0,1165,69,7,36,36,0,28,8,0,255,229,0,229,0,26,33,2.2,0.6,0.0,10.2,343684.7265625,2487.7022320208102
49636,10172,10017,36061009200,197023,0,Census Tract 92,New York,New York County,1234,1532,1277,1241,0,1165,69,7,36,36,0,28,8,0,255,229,0,229,0,26,33,2.2,0.6,0.0,10.2,343684.7265625,2487.7022320208102
49636,10174,10017,36061009200,197023,0,Census Tract 92,New York,New York County,1234,1532,1277,1241,0,1165,69,7,36,36,0,28,8,0,255,229,0,229,0,26,33,2.2,0.6,0.0,10.2,343684.7265625,2487.7022320208102
49637,10001,10001,36061009300,179098,0,Census Tract 93,New York,New York County,5317,8387,5851,5563,0,5036,281,246,288,288,0,288,0,0,2536,2083,0,2000,83,453,699,8.3,4.4,0.0,17.9,312358.3828125,2310.20960006097
49637,10011,10011,36061009300,179098,0,Census Tract 93,New York,New York County,5317,8387,5851,5563,0,5036,281,246,288,288,0,288,0,0,2536,2083,0,2000,83,453,699,8.3,4.4,0.0,17.9,312358.3828125,2310.20960006097
49638,10017,10017,36061009400,152754,0,Census Tract 94,New York,New York County,50,54,50,50,0,50,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,7.4,0.0,,100.0,266474.40625,2308.9378622494396
49638,10173,10017,36061009400,152754,0,Census Tract 94,New York,New York County,50,54,50,50,0,50,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,7.4,0.0,,100.0,266474.40625,2308.9378622494396
49638,10177,10017,36061009400,152754,0,Census Tract 94,New York,New York County,50,54,50,50,0,50,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,7.4,0.0,,100.0,266474.40625,2308.9378622494396
49639,10001,10001,36061009500,171964,0,Census Tract 95,New York,New York County,1326,1969,1446,1350,18,1308,0,24,96,96,0,96,0,0,523,523,0,523,0,0,24,1.2,1.8,0.0,0.0,299915.515625,2277.34768844506
49640,10020,10019,36061009600,175330,0,Census Tract 96,New York,New York County,133,141,137,133,0,125,8,0,4,4,0,4,0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,305869.78125,2310.36521907755
49640,10036,10036,36061009600,175330,0,Census Tract 96,New York,New York County,133,141,137,133,0,125,8,0,4,4,0,4,0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,305869.78125,2310.36521907755
49640,10110,10036,36061009600,175330,0,Census Tract 96,New York,New York County,133,141,137,133,0,125,8,0,4,4,0,4,0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,305869.78125,2310.36521907755
49641,10001,10001,36061009700,172933,0,Census Tract 97,New York,New York County,2444,4615,2728,2572,0,2319,125,128,156,156,0,156,0,0,1887,1309,0,1038,271,578,706,15.3,5.0,0.0,30.6,301627.54296875,2274.52226099475
49641,10199,10001,36061009700,172933,0,Census Tract 97,New York,New York County,2444,4615,2728,2572,0,2319,125,128,156,156,0,156,0,0,1887,1309,0,1038,271,578,706,15.3,5.0,0.0,30.6,301627.54296875,2274.52226099475
49642,10017,10017,36061009800,177068,0,Census Tract 98,New York,New York County,4767,6529,4891,4779,0,4767,0,12,112,112,0,112,0,0,1638,1376,0,1376,0,262,274,4.2,0.3,0.0,16.0,308895.25,2227.7974060720003
49642,10022,10022,36061009800,177068,0,Census Tract 98,New York,New York County,4767,6529,4891,4779,0,4767,0,12,112,112,0,112,0,0,1638,1376,0,1376,0,262,274,4.2,0.3,0.0,16.0,308895.25,2227.7974060720003
49643,10001,10001,36061009900,1002374,1130336,Census Tract 99,New York,New York County,4313,5337,4540,4331,0,4282,31,18,209,209,0,209,0,0,797,748,0,748,0,49,67,1.3,0.4,0.0,6.1,1756657.953125,14724.392151793701
49643,10011,10011,36061009900,1002374,1130336,Census Tract 99,New York,New York County,4313,5337,4540,4331,0,4282,31,18,209,209,0,209,0,0,797,748,0,748,0,49,67,1.3,0.4,0.0,6.1,1756657.953125,14724.392151793701
49643,10018,10018,36061009900,1002374,1130336,Census Tract 99,New York,New York County,4313,5337,4540,4331,0,4282,31,18,209,209,0,209,0,0,797,748,0,748,0,49,67,1.3,0.4,0.0,6.1,1756657.953125,14724.392151793701
49644,10017,10017,36061010000,172894,0,Census Tract 100,New York,New York County,1328,1634,1350,1328,0,1328,0,0,22,22,0,22,0,0,284,241,0,241,0,43,43,2.6,0.0,0.0,15.1,301637.41796875,2292.61831378271
49644,10022,10022,36061010000,172894,0,Census Tract 100,New York,New York County,1328,1634,1350,1328,0,1328,0,0,22,22,0,22,0,0,284,241,0,241,0,43,43,2.6,0.0,0.0,15.1,301637.41796875,2292.61831378271
49644,10152,10022,36061010000,172894,0,Census Tract 100,New York,New York County,1328,1634,1350,1328,0,1328,0,0,22,22,0,22,0,0,284,241,0,241,0,43,43,2.6,0.0,0.0,15.1,301637.41796875,2292.61831378271
49644,10154,10022,36061010000,172894,0,Census Tract 100,New York,New York County,1328,1634,1350,1328,0,1328,0,0,22,22,0,22,0,0,284,241,0,241,0,43,43,2.6,0.0,0.0,15.1,301637.41796875,2292.61831378271
49645,10001,10001,36061010100,175519,0,Census Tract 101,New York,New York County,889,1160,949,903,0,873,16,14,46,46,0,45,1,0,211,179,0,164,15,32,46,4.0,1.6,0.0,15.2,306137.4375,2292.31616589857
49645,10119,10001,36061010100,175519,0,Census Tract 101,New York,New York County,889,1160,949,903,0,873,16,14,46,46,0,45,1,0,211,179,0,164,15,32,46,4.0,1.6,0.0,15.2,306137.4375,2292.31616589857
49646,10022,10022,36061010200,172891,0,Census Tract 102,New York,New York County,52,70,52,52,0,48,4,0,0,0,0,0,0,0,18,15,0,15,0,3,3,4.3,0.0,,16.7,301643.0859375,2290.60356592261
49647,10001,10001,36061010300,174469,0,Census Tract 103,New York,New York County,1488,1875,1500,1495,0,1467,21,7,5,5,0,5,0,0,375,351,0,339,12,24,31,1.7,0.5,0.0,6.4,304326.91796875,2292.9634689337
49647,10199,10001,36061010300,174469,0,Census Tract 103,New York,New York County,1488,1875,1500,1495,0,1467,21,7,5,5,0,5,0,0,375,351,0,339,12,24,31,1.7,0.5,0.0,6.4,304326.91796875,2292.9634689337
49648,10019,10019,36061010400,173230,0,Census Tract 104,New York,New York County,599,869,626,599,0,549,50,0,27,21,0,21,0,6,243,196,0,180,16,47,53,6.1,0.0,22.2,19.3,302246.97265625,2292.85246611805
49648,10020,10019,36061010400,173230,0,Census Tract 104,New York,New York County,599,869,626,599,0,549,50,0,27,21,0,21,0,6,243,196,0,180,16,47,53,6.1,0.0,22.2,19.3,302246.97265625,2292.85246611805
49648,10103,10019,36061010400,173230,0,Census Tract 104,New York,New York County,599,869,626,599,0,549,50,0,27,21,0,21,0,6,243,196,0,180,16,47,53,6.1,0.0,22.2,19.3,302246.97265625,2292.85246611805
49648,10111,10019,36061010400,173230,0,Census Tract 104,New York,New York County,599,869,626,599,0,549,50,0,27,21,0,21,0,6,243,196,0,180,16,47,53,6.1,0.0,22.2,19.3,302246.97265625,2292.85246611805
49648,10112,10019,36061010400,173230,0,Census Tract 104,New York,New York County,599,869,626,599,0,549,50,0,27,21,0,21,0,6,243,196,0,180,16,47,53,6.1,0.0,22.2,19.3,302246.97265625,2292.85246611805
49649,10022,10022,36061010601,121208,130046,Census Tract 106.01,New York,New York County,3760,6794,3877,3783,0,3678,82,23,94,94,0,94,0,0,2917,2547,0,2330,217,370,393,5.8,0.6,0.0,12.7,232620.875,3204.84912046921
49650,10021,10021,36061010602,125711,73073,Census Tract 106.02,New York,New York County,2943,3767,2974,2943,0,2420,523,0,31,31,0,31,0,0,793,780,0,667,113,13,13,0.3,0.0,0.0,1.6,234333.98046875,2764.5149637170503
49650,10022,10022,36061010602,125711,73073,Census Tract 106.02,New York,New York County,2943,3767,2974,2943,0,2420,523,0,31,31,0,31,0,0,793,780,0,667,113,13,13,0.3,0.0,0.0,1.6,234333.98046875,2764.5149637170503
49650,10065,10065,36061010602,125711,73073,Census Tract 106.02,New York,New York County,2943,3767,2974,2943,0,2420,523,0,31,31,0,31,0,0,793,780,0,667,113,13,13,0.3,0.0,0.0,1.6,234333.98046875,2764.5149637170503
49651,10022,10022,36061010800,182589,0,Census Tract 108,New York,New York County,6005,7702,6307,6210,39,5871,95,205,97,97,0,97,0,0,1395,1370,16,1279,75,25,230,3.0,3.3,0.0,1.8,318556.03515625,2259.70986811247
49652,10001,10001,36061010900,175741,0,Census Tract 109,New York,New York County,138,156,141,138,0,138,0,0,3,3,0,3,0,0,15,15,0,15,0,0,0,0.0,0.0,0.0,0.0,306547.703125,2298.01151115807
49652,10018,10018,36061010900,175741,0,Census Tract 109,New York,New York County,138,156,141,138,0,138,0,0,3,3,0,3,0,0,15,15,0,15,0,0,0,0.0,0.0,0.0,0.0,306547.703125,2298.01151115807
49653,10022,10022,36061011000,176510,0,Census Tract 110,New York,New York County,4388,6140,4860,4623,0,4355,33,235,237,210,0,172,38,27,1280,1130,0,1104,26,150,412,6.7,5.1,11.4,11.7,307980.41796875,2223.44864075991
49653,10065,10065,36061011000,176510,0,Census Tract 110,New York,New York County,4388,6140,4860,4623,0,4355,33,235,237,210,0,172,38,27,1280,1130,0,1104,26,150,412,6.7,5.1,11.4,11.7,307980.41796875,2223.44864075991
49654,10001,10001,36061011100,175464,0,Census Tract 111,New York,New York County,3137,4530,3234,3175,0,3102,35,38,59,59,0,59,0,0,1296,965,0,936,29,331,369,8.1,1.2,0.0,25.5,306086.9140625,2293.13605374238
49654,10018,10018,36061011100,175464,0,Census Tract 111,New York,New York County,3137,4530,3234,3175,0,3102,35,38,59,59,0,59,0,0,1296,965,0,936,29,331,369,8.1,1.2,0.0,25.5,306086.9140625,2293.13605374238
49655,10019,10019,36061011201,79536,0,Census Tract 112.01,New York,New York County,537,772,550,537,0,496,41,0,13,13,0,13,0,0,222,209,0,192,17,13,13,1.7,0.0,0.0,5.9,138784.23046875,1496.16589452271
49656,10022,10022,36061011202,78008,0,Census Tract 112.02,New York,New York County,204,350,208,204,0,197,7,0,4,4,0,4,0,0,142,137,0,121,16,5,5,1.4,0.0,0.0,3.5,136113.01953125,1484.8088204170099
49656,10153,10022,36061011202,78008,0,Census Tract 112.02,New York,New York County,204,350,208,204,0,197,7,0,4,4,0,4,0,0,142,137,0,121,16,5,5,1.4,0.0,0.0,3.5,136113.01953125,1484.8088204170099
49657,10022,10022,36061011203,77947,0,Census Tract 112.03,New York,New York County,768,1049,808,777,0,746,22,9,31,31,0,31,0,0,241,241,0,228,13,0,9,0.9,1.2,0.0,0.0,136001.16015625,1484.06483472299
49658,10018,10018,36061011300,175653,0,Census Tract 113,New York,New York County,70,78,70,70,0,70,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0.0,0.0,,0.0,306417.14453125,2294.09578101945
49658,10036,10036,36061011300,175653,0,Census Tract 113,New York,New York County,70,78,70,70,0,70,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0.0,0.0,,0.0,306417.14453125,2294.09578101945
49659,10022,10022,36061011401,98508,0,Census Tract 114.01,New York,New York County,482,985,497,482,0,482,0,0,15,15,0,15,0,0,488,427,0,409,18,61,61,6.2,0.0,0.0,12.5,171893.71875,1657.92543299086
49659,10065,10065,36061011401,98508,0,Census Tract 114.01,New York,New York County,482,985,497,482,0,482,0,0,15,15,0,15,0,0,488,427,0,409,18,61,61,6.2,0.0,0.0,12.5,171893.71875,1657.92543299086
49660,10022,10022,36061011402,98799,0,Census Tract 114.02,New York,New York County,931,1563,990,940,18,904,9,9,50,50,0,50,0,0,573,532,0,451,81,41,50,3.2,1.0,0.0,7.2,172392.7734375,1660.95338876199
49660,10065,10065,36061011402,98799,0,Census Tract 114.02,New York,New York County,931,1563,990,940,18,904,9,9,50,50,0,50,0,0,573,532,0,451,81,41,50,3.2,1.0,0.0,7.2,172392.7734375,1660.95338876199
49661,10018,10018,36061011500,175588,0,Census Tract 115,New York,New York County,2384,3166,2580,2484,0,2340,44,100,96,96,0,96,0,0,586,539,0,526,13,47,147,4.6,4.0,0.0,8.0,306321.78515625,2294.04976380161
49661,10036,10036,36061011500,175588,0,Census Tract 115,New York,New York County,2384,3166,2580,2484,0,2340,44,100,96,96,0,96,0,0,586,539,0,526,13,47,147,4.6,4.0,0.0,8.0,306321.78515625,2294.04976380161
49662,10021,10021,36061011600,195582,132923,Census Tract 116,New York,New York County,2021,2683,2169,2085,0,1979,42,64,84,84,0,84,0,0,514,382,0,345,37,132,196,7.3,3.1,0.0,25.7,382464.4375,3630.84920773192
49662,10065,10065,36061011600,195582,132923,Census Tract 116,New York,New York County,2021,2683,2169,2085,0,1979,42,64,84,84,0,84,0,0,514,382,0,345,37,132,196,7.3,3.1,0.0,25.7,382464.4375,3630.84920773192
49663,10018,10018,36061011700,187347,176830,Census Tract 117,New York,New York County,3119,3733,3249,3119,0,3065,54,0,130,130,0,130,0,0,484,438,36,340,62,46,46,1.2,0.0,0.0,9.5,338352.11328125,3409.79756555104
49663,10036,10036,36061011700,187347,176830,Census Tract 117,New York,New York County,3119,3733,3249,3119,0,3065,54,0,130,130,0,130,0,0,484,438,36,340,62,46,46,1.2,0.0,0.0,9.5,338352.11328125,3409.79756555104
49664,10021,10021,36061011800,176768,0,Census Tract 118,New York,New York County,5117,7692,5174,5117,0,5087,30,0,57,57,0,57,0,0,2518,2276,0,2233,43,242,242,3.1,0.0,0.0,9.6,308461.3984375,2224.16231281411
49664,10065,10065,36061011800,176768,0,Census Tract 118,New York,New York County,5117,7692,5174,5117,0,5087,30,0,57,57,0,57,0,0,2518,2276,0,2233,43,242,242,3.1,0.0,0.0,9.6,308461.3984375,2224.16231281411
49665,10036,10036,36061011900,177591,0,Census Tract 119,New York,New York County,268,1065,393,354,0,199,69,86,39,29,0,0,29,10,672,330,0,211,119,342,438,41.1,24.3,25.6,50.9,309820.83984375,2303.06857363903
49666,10021,10021,36061012000,173024,0,Census Tract 120,New York,New York County,1446,2614,1460,1446,0,1405,41,0,14,14,0,14,0,0,1154,1070,0,1056,14,84,84,3.2,0.0,0.0,7.3,301942.6015625,2291.73798719896
49666,10065,10065,36061012000,173024,0,Census Tract 120,New York,New York County,1446,2614,1460,1446,0,1405,41,0,14,14,0,14,0,0,1154,1070,0,1056,14,84,84,3.2,0.0,0.0,7.3,301942.6015625,2291.73798719896
49667,10036,10036,36061012100,178159,0,Census Tract 121,New York,New York County,5145,7247,5619,5145,0,4564,581,0,474,452,0,428,24,22,1628,1102,0,1070,32,526,548,7.6,0.0,4.6,32.3,310834.13671875,2306.13126820087
49668,10021,10021,36061012200,172616,0,Census Tract 122,New York,New York County,1084,2298,1120,1095,0,1084,0,11,25,25,0,25,0,0,1178,1125,16,1049,60,53,64,2.8,1.0,0.0,4.5,301242.98828125,2289.76588664673
49668,10065,10065,36061012200,172616,0,Census Tract 122,New York,New York County,1084,2298,1120,1095,0,1084,0,11,25,25,0,25,0,0,1178,1125,16,1049,60,53,64,2.8,1.0,0.0,4.5,301242.98828125,2289.76588664673
49669,10021,10021,36061012400,171580,75103,Census Tract 124,New York,New York County,5780,7595,6038,5886,0,5780,0,106,152,152,0,132,20,0,1557,1335,0,1335,0,222,328,4.3,1.8,0.0,14.3,327464.9296875,3305.5368518237296
49670,10019,10019,36061012500,174253,0,Census Tract 125,New York,New York County,1873,2315,1926,1873,7,1817,49,0,53,53,0,27,26,0,389,314,8,279,27,75,75,3.2,0.0,0.0,19.3,304022.65234375,2287.87798575399
49670,10020,10019,36061012500,174253,0,Census Tract 125,New York,New York County,1873,2315,1926,1873,7,1817,49,0,53,53,0,27,26,0,389,314,8,279,27,75,75,3.2,0.0,0.0,19.3,304022.65234375,2287.87798575399
