infornk,modzcta,perc,physrnk,mindist
86,11374,0.150020028,34,938.8474801010203
47,11375,0.117996449,96,2167.133195373934
84,11377,0.149987324,37,1050.2156822037593
63,11378,0.133776426,108,2437.5462881522863
76,11379,0.1429292,105,2354.2082136806753
104,11385,0.172750632,56,1306.1466992198746
33,11411,0.10213061,125,2873.697811845635
105,11412,0.173110555,110,2509.0842366069132
78,11413,0.143561307,20,600.313031283019
77,11414,0.14334391400000002,153,4519.12431541381
66,11415,0.135717974,95,2149.9323406636067
50,11416,0.119384638,148,4121.974642827349
44,11417,0.115986561,151,4324.604120273933
72,11418,0.140286059,131,3058.5182247856114
68,11419,0.136156039,112,2564.176818934997
52,11420,0.120575701,134,3171.6720006883284
55,11421,0.12547662,143,3959.309077857815
46,11422,0.11648197099999999,98,2193.5312313291633
69,11423,0.136770529,129,2976.4600147396086
38,11426,0.10682690199999999,168,7366.945112321438
57,11427,0.12690797199999998,161,5309.311971941314
43,11428,0.115612091,160,5164.441255215698
27,11429,0.091097863,158,4905.635580306654
101,11432,0.16940652399999998,44,1133.241957888491
156,11433,0.241084103,41,1090.3131989997978
152,11434,0.228092911,128,2943.3069536063813
107,11435,0.174948993,28,850.0940414838077
90,11436,0.15229073099999998,74,1673.6445202127545
146,11691,0.21880734899999998,171,8009.689689762031
127,11692,0.19521492399999998,173,9451.04959541147
111,11693,0.179829425,175,9958.602467348246
93,11694,0.156591762,174,9886.798887432707
53,11697,0.121377551,163,5719.471377663996
