Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,All Households that Have One or More Types of Computing Devices,All Households that Have a Desktop or Laptop,Households that have a Desktop or Laptop with No Other Type of Computing Device,All Households that Have a Smartphone,Households that Have a Smartphone with No Other Type of Computing Device,All Households that Have a Tablet or Other Portable Wireless Computer,Households that Have a Tablet or Other Portable Wireless Computer with No Other Type of Computing Device,All Households that Have an Other Computer,Households that Have an Other Computer with No Other Type of Computing Device,Households that Have No Computer,"Percent of Households that Have No Computer, Smartphone, or Tablet",All Households with an Internet Subscription,Households with Dial-up with No Other Type of Internet Subscription,Households with Broadband of Any Type,All Households with Cellular Data Plan,Households with Cellular Data Plan with No Other Type of Internet Subscription,"All Households with Broadband such as Cable, Fiber Optic or DSL","Households with Broadband such as Cable, Fiber Optic or DSL with No Other Type of Internet Subscription",All Households with Satellite Internet Service,Households with Satellite Internet Service with No Other Type of Internet Subscription,Households with Other Service with No Other Type of Internet Subscription,Households with Internet Access without a Subscription,Households with No Internet Access,Percent of Households with No Internet Access,Shape Area,Shape Length
49642,10022,10022,36061009800,177068,0,Census Tract 98,New York,New York County,4222,3987,3767,221,3670,58,2452,0,297,0,235,5.6,3987,0,3987,2953,207,3728,1009,42,0,25,0,235,5.6,308895.25,2227.7974060720003
49643,10001,10001,36061009900,1002374,1130336,Census Tract 99,New York,New York County,3502,3435,3398,66,3334,29,2824,0,462,0,67,1.9,3404,0,3404,2420,124,3250,954,60,0,0,31,67,1.9,1756657.953125,14724.392151793701
49643,10011,10011,36061009900,1002374,1130336,Census Tract 99,New York,New York County,3502,3435,3398,66,3334,29,2824,0,462,0,67,1.9,3404,0,3404,2420,124,3250,954,60,0,0,31,67,1.9,1756657.953125,14724.392151793701
49643,10018,10018,36061009900,1002374,1130336,Census Tract 99,New York,New York County,3502,3435,3398,66,3334,29,2824,0,462,0,67,1.9,3404,0,3404,2420,124,3250,954,60,0,0,31,67,1.9,1756657.953125,14724.392151793701
49644,10017,10017,36061010000,172894,0,Census Tract 100,New York,New York County,1154,1111,1053,66,1024,35,831,0,8,0,43,3.7,1111,0,1111,802,80,1031,309,25,0,0,0,43,3.7,301637.41796875,2292.61831378271
49644,10022,10022,36061010000,172894,0,Census Tract 100,New York,New York County,1154,1111,1053,66,1024,35,831,0,8,0,43,3.7,1111,0,1111,802,80,1031,309,25,0,0,0,43,3.7,301637.41796875,2292.61831378271
49644,10152,10022,36061010000,172894,0,Census Tract 100,New York,New York County,1154,1111,1053,66,1024,35,831,0,8,0,43,3.7,1111,0,1111,802,80,1031,309,25,0,0,0,43,3.7,301637.41796875,2292.61831378271
49644,10154,10022,36061010000,172894,0,Census Tract 100,New York,New York County,1154,1111,1053,66,1024,35,831,0,8,0,43,3.7,1111,0,1111,802,80,1031,309,25,0,0,0,43,3.7,301637.41796875,2292.61831378271
49645,10001,10001,36061010100,175519,0,Census Tract 101,New York,New York County,830,798,737,27,736,38,593,14,82,0,32,3.9,777,0,777,481,33,724,287,51,9,0,26,27,3.3,306137.4375,2292.31616589857
49645,10119,10001,36061010100,175519,0,Census Tract 101,New York,New York County,830,798,737,27,736,38,593,14,82,0,32,3.9,777,0,777,481,33,724,287,51,9,0,26,27,3.3,306137.4375,2292.31616589857
49646,10022,10022,36061010200,172891,0,Census Tract 102,New York,New York County,49,46,46,0,46,0,25,0,0,0,3,6.1,42,0,42,24,0,36,12,11,6,0,0,7,14.3,301643.0859375,2290.60356592261
49647,10001,10001,36061010300,174469,0,Census Tract 103,New York,New York County,1208,1177,1131,15,1132,11,893,0,130,0,31,2.6,1155,0,1155,801,51,1104,354,0,0,0,22,31,2.6,304326.91796875,2292.9634689337
49647,10199,10001,36061010300,174469,0,Census Tract 103,New York,New York County,1208,1177,1131,15,1132,11,893,0,130,0,31,2.6,1155,0,1155,801,51,1104,354,0,0,0,22,31,2.6,304326.91796875,2292.9634689337
49648,10019,10019,36061010400,173230,0,Census Tract 104,New York,New York County,571,526,469,56,441,24,393,0,79,0,45,7.9,476,0,476,305,30,446,166,15,0,0,32,63,11.0,302246.97265625,2292.85246611805
49648,10020,10019,36061010400,173230,0,Census Tract 104,New York,New York County,571,526,469,56,441,24,393,0,79,0,45,7.9,476,0,476,305,30,446,166,15,0,0,32,63,11.0,302246.97265625,2292.85246611805
49648,10103,10019,36061010400,173230,0,Census Tract 104,New York,New York County,571,526,469,56,441,24,393,0,79,0,45,7.9,476,0,476,305,30,446,166,15,0,0,32,63,11.0,302246.97265625,2292.85246611805
49648,10111,10019,36061010400,173230,0,Census Tract 104,New York,New York County,571,526,469,56,441,24,393,0,79,0,45,7.9,476,0,476,305,30,446,166,15,0,0,32,63,11.0,302246.97265625,2292.85246611805
49648,10112,10019,36061010400,173230,0,Census Tract 104,New York,New York County,571,526,469,56,441,24,393,0,79,0,45,7.9,476,0,476,305,30,446,166,15,0,0,32,63,11.0,302246.97265625,2292.85246611805
49649,10022,10022,36061010601,121208,130046,Census Tract 106.01,New York,New York County,4399,4029,3835,401,3461,80,2785,0,191,0,370,8.4,3778,0,3778,2848,135,3620,907,217,23,0,132,489,11.1,232620.875,3204.84912046921
49650,10021,10021,36061010602,125711,73073,Census Tract 106.02,New York,New York County,2167,2154,2069,44,1999,0,1660,0,123,0,13,0.6,1833,0,1833,1317,47,1761,504,27,12,0,269,65,3.0,234333.98046875,2764.5149637170503
49650,10022,10022,36061010602,125711,73073,Census Tract 106.02,New York,New York County,2167,2154,2069,44,1999,0,1660,0,123,0,13,0.6,1833,0,1833,1317,47,1761,504,27,12,0,269,65,3.0,234333.98046875,2764.5149637170503
49650,10065,10065,36061010602,125711,73073,Census Tract 106.02,New York,New York County,2167,2154,2069,44,1999,0,1660,0,123,0,13,0.6,1833,0,1833,1317,47,1761,504,27,12,0,269,65,3.0,234333.98046875,2764.5149637170503
49651,10022,10022,36061010800,182589,0,Census Tract 108,New York,New York County,4991,4861,4727,310,4406,0,3058,0,118,0,130,2.6,4716,39,4677,3758,85,4494,898,127,0,0,42,233,4.7,318556.03515625,2259.70986811247
49652,10001,10001,36061010900,175741,0,Census Tract 109,New York,New York County,93,93,93,10,83,0,83,0,9,0,0,0.0,93,0,93,78,6,87,15,4,0,0,0,0,0.0,306547.703125,2298.01151115807
49652,10018,10018,36061010900,175741,0,Census Tract 109,New York,New York County,93,93,93,10,83,0,83,0,9,0,0,0.0,93,0,93,78,6,87,15,4,0,0,0,0,0.0,306547.703125,2298.01151115807
49653,10022,10022,36061011000,176510,0,Census Tract 110,New York,New York County,3939,3589,3405,290,3094,62,2489,0,163,26,350,8.9,3492,0,3492,2640,81,3374,815,130,37,0,0,447,11.3,307980.41796875,2223.44864075991
49653,10065,10065,36061011000,176510,0,Census Tract 110,New York,New York County,3939,3589,3405,290,3094,62,2489,0,163,26,350,8.9,3492,0,3492,2640,81,3374,815,130,37,0,0,447,11.3,307980.41796875,2223.44864075991
49654,10001,10001,36061011100,175464,0,Census Tract 111,New York,New York County,2746,2448,2386,36,2361,0,1907,11,352,0,298,10.9,2440,0,2440,2014,126,2293,426,67,0,0,54,252,9.2,306086.9140625,2293.13605374238
49654,10018,10018,36061011100,175464,0,Census Tract 111,New York,New York County,2746,2448,2386,36,2361,0,1907,11,352,0,298,10.9,2440,0,2440,2014,126,2293,426,67,0,0,54,252,9.2,306086.9140625,2293.13605374238
49655,10019,10019,36061011201,79536,0,Census Tract 112.01,New York,New York County,480,467,449,35,423,18,297,0,47,0,13,2.7,432,0,432,362,9,415,61,16,0,0,19,29,6.0,138784.23046875,1496.16589452271
49656,10022,10022,36061011202,78008,0,Census Tract 112.02,New York,New York County,191,186,186,16,161,0,119,0,25,0,5,2.6,175,0,175,144,0,175,31,9,0,0,4,12,6.3,136113.01953125,1484.8088204170099
49656,10153,10022,36061011202,78008,0,Census Tract 112.02,New York,New York County,191,186,186,16,161,0,119,0,25,0,5,2.6,175,0,175,144,0,175,31,9,0,0,4,12,6.3,136113.01953125,1484.8088204170099
49657,10022,10022,36061011203,77947,0,Census Tract 112.03,New York,New York County,648,643,625,11,598,0,434,13,36,0,5,0.8,617,0,617,414,40,568,196,8,0,3,13,18,2.8,136001.16015625,1484.06483472299
49658,10018,10018,36061011300,175653,0,Census Tract 113,New York,New York County,57,57,53,9,40,0,28,4,5,0,0,0.0,57,0,57,37,0,57,20,3,0,0,0,0,0.0,306417.14453125,2294.09578101945
49658,10036,10036,36061011300,175653,0,Census Tract 113,New York,New York County,57,57,53,9,40,0,28,4,5,0,0,0.0,57,0,57,37,0,57,20,3,0,0,0,0,0.0,306417.14453125,2294.09578101945
49659,10022,10022,36061011401,98508,0,Census Tract 114.01,New York,New York County,621,575,561,41,519,5,457,5,57,0,46,7.4,557,0,557,414,70,487,143,16,0,0,11,53,8.5,171893.71875,1657.92543299086
49659,10065,10065,36061011401,98508,0,Census Tract 114.01,New York,New York County,621,575,561,41,519,5,457,5,57,0,46,7.4,557,0,557,414,70,487,143,16,0,0,11,53,8.5,171893.71875,1657.92543299086
49660,10022,10022,36061011402,98799,0,Census Tract 114.02,New York,New York County,1039,997,961,121,833,9,696,9,14,0,42,4.0,929,18,911,667,44,867,202,41,0,0,27,83,8.0,172392.7734375,1660.95338876199
49660,10065,10065,36061011402,98799,0,Census Tract 114.02,New York,New York County,1039,997,961,121,833,9,696,9,14,0,42,4.0,929,18,911,667,44,867,202,41,0,0,27,83,8.0,172392.7734375,1660.95338876199
49661,10018,10018,36061011500,175588,0,Census Tract 115,New York,New York County,1838,1768,1741,122,1605,0,1246,0,180,0,70,3.8,1725,0,1725,1295,79,1607,400,13,0,19,14,99,5.4,306321.78515625,2294.04976380161
49661,10036,10036,36061011500,175588,0,Census Tract 115,New York,New York County,1838,1768,1741,122,1605,0,1246,0,180,0,70,3.8,1725,0,1725,1295,79,1607,400,13,0,19,14,99,5.4,306321.78515625,2294.04976380161
49662,10021,10021,36061011600,195582,132923,Census Tract 116,New York,New York County,1717,1558,1521,67,1445,0,1113,0,0,0,159,9.3,1530,0,1530,1190,100,1405,340,74,0,0,18,169,9.8,382464.4375,3630.84920773192
49662,10065,10065,36061011600,195582,132923,Census Tract 116,New York,New York County,1717,1558,1521,67,1445,0,1113,0,0,0,159,9.3,1530,0,1530,1190,100,1405,340,74,0,0,18,169,9.8,382464.4375,3630.84920773192
49663,10018,10018,36061011700,187347,176830,Census Tract 117,New York,New York County,2459,2439,2325,74,2328,39,1852,0,280,0,20,0.8,2343,17,2326,1902,166,2092,353,122,0,28,54,62,2.5,338352.11328125,3409.79756555104
49663,10036,10036,36061011700,187347,176830,Census Tract 117,New York,New York County,2459,2439,2325,74,2328,39,1852,0,280,0,20,0.8,2343,17,2326,1902,166,2092,353,122,0,28,54,62,2.5,338352.11328125,3409.79756555104
49664,10021,10021,36061011800,176768,0,Census Tract 118,New York,New York County,4712,4470,4312,202,4201,43,3363,57,112,0,242,5.1,4397,0,4397,3609,220,4122,788,79,0,0,30,285,6.0,308461.3984375,2224.16231281411
49664,10065,10065,36061011800,176768,0,Census Tract 118,New York,New York County,4712,4470,4312,202,4201,43,3363,57,112,0,242,5.1,4397,0,4397,3609,220,4122,788,79,0,0,30,285,6.0,308461.3984375,2224.16231281411
49665,10036,10036,36061011900,177591,0,Census Tract 119,New York,New York County,990,552,352,59,461,126,227,0,69,32,438,44.2,377,0,377,260,104,273,117,0,0,0,70,543,54.8,309820.83984375,2303.06857363903
49666,10021,10021,36061012000,173024,0,Census Tract 120,New York,New York County,1653,1569,1492,54,1410,12,1232,53,114,0,84,5.1,1528,0,1528,1375,121,1382,153,73,0,0,41,84,5.1,301942.6015625,2291.73798719896
49666,10065,10065,36061012000,173024,0,Census Tract 120,New York,New York County,1653,1569,1492,54,1410,12,1232,53,114,0,84,5.1,1528,0,1528,1375,121,1382,153,73,0,0,41,84,5.1,301942.6015625,2291.73798719896
49667,10036,10036,36061012100,178159,0,Census Tract 121,New York,New York County,4790,4340,3923,309,3947,181,2918,0,272,0,450,9.4,3901,0,3901,2866,259,3505,953,11,0,54,131,758,15.8,310834.13671875,2306.13126820087
49668,10021,10021,36061012200,172616,0,Census Tract 122,New York,New York County,1445,1394,1341,153,1202,10,958,0,147,0,51,3.5,1346,16,1330,1145,138,1192,185,65,0,0,0,99,6.9,301242.98828125,2289.76588664673
49668,10065,10065,36061012200,172616,0,Census Tract 122,New York,New York County,1445,1394,1341,153,1202,10,958,0,147,0,51,3.5,1346,16,1330,1145,138,1192,185,65,0,0,0,99,6.9,301242.98828125,2289.76588664673
49669,10021,10021,36061012400,171580,75103,Census Tract 124,New York,New York County,5203,4940,4879,369,4549,46,2954,0,362,0,263,5.1,4920,0,4920,3858,280,4606,1062,45,0,0,20,263,5.1,327464.9296875,3305.5368518237296
49670,10019,10019,36061012500,174253,0,Census Tract 125,New York,New York County,1511,1436,1379,38,1333,14,998,23,112,0,75,5.0,1364,7,1357,1020,32,1308,337,40,0,0,37,110,7.3,304022.65234375,2287.87798575399
49670,10020,10019,36061012500,174253,0,Census Tract 125,New York,New York County,1511,1436,1379,38,1333,14,998,23,112,0,75,5.0,1364,7,1357,1020,32,1308,337,40,0,0,37,110,7.3,304022.65234375,2287.87798575399
49670,10036,10036,36061012500,174253,0,Census Tract 125,New York,New York County,1511,1436,1379,38,1333,14,998,23,112,0,75,5.0,1364,7,1357,1020,32,1308,337,40,0,0,37,110,7.3,304022.65234375,2287.87798575399
49671,10021,10021,36061012600,183653,0,Census Tract 126,New York,New York County,7357,7217,7000,634,6450,34,4867,0,606,0,140,1.9,6817,0,6817,4735,478,5971,1971,328,0,38,235,305,4.1,320505.81640625,2265.92618162219
49672,10019,10019,36061012700,174028,0,Census Tract 127,New York,New York County,3946,3607,3361,116,3129,26,2779,38,378,0,339,8.6,3392,0,3392,2523,90,3286,836,33,0,0,85,469,11.9,303650.2421875,2286.9635123214002
49672,10036,10036,36061012700,174028,0,Census Tract 127,New York,New York County,3946,3607,3361,116,3129,26,2779,38,378,0,339,8.6,3392,0,3392,2523,90,3286,836,33,0,0,85,469,11.9,303650.2421875,2286.9635123214002
49673,10021,10021,36061012800,178790,0,Census Tract 128,New York,New York County,2681,2583,2530,242,2236,0,2029,0,206,0,98,3.7,2566,18,2548,1789,39,2509,707,171,0,0,17,98,3.7,312045.65234375,2342.04415712158
49673,10075,10075,36061012800,178790,0,Census Tract 128,New York,New York County,2681,2583,2530,242,2236,0,2029,0,206,0,98,3.7,2566,18,2548,1789,39,2509,707,171,0,0,17,98,3.7,312045.65234375,2342.04415712158
49674,10019,10019,36061012900,426844,384608,Census Tract 129,New York,New York County,4125,4001,3849,158,3669,66,2899,27,553,0,124,3.0,3906,0,3906,3140,275,3615,716,52,16,0,59,160,3.9,704847.36328125,6623.97279046406
49674,10036,10036,36061012900,426844,384608,Census Tract 129,New York,New York County,4125,4001,3849,158,3669,66,2899,27,553,0,124,3.0,3906,0,3906,3140,275,3615,716,52,16,0,59,160,3.9,704847.36328125,6623.97279046406
49675,10021,10021,36061013000,178226,0,Census Tract 130,New York,New York County,1856,1773,1639,129,1626,99,1186,0,152,0,83,4.5,1642,0,1642,1265,83,1512,327,110,0,0,0,214,11.5,311072.44140625,2339.64581340113
49675,10075,10075,36061013000,178226,0,Census Tract 130,New York,New York County,1856,1773,1639,129,1626,99,1186,0,152,0,83,4.5,1642,0,1642,1265,83,1512,327,110,0,0,0,214,11.5,311072.44140625,2339.64581340113
49676,10019,10019,36061013100,174135,0,Census Tract 131,New York,New York County,1765,1595,1508,62,1415,17,1094,16,141,0,170,9.6,1490,8,1482,1068,53,1429,407,27,0,0,85,190,10.8,303839.625,2286.49109768458
49677,10021,10021,36061013200,200886,92937,Census Tract 132,New York,New York County,5483,5336,5119,426,4614,0,3604,0,131,0,147,2.7,5281,0,5281,3794,196,5062,1464,139,23,0,55,147,2.7,380236.37890625,3399.56956438858
49677,10075,10075,36061013200,200886,92937,Census Tract 132,New York,New York County,5483,5336,5119,426,4614,0,3604,0,131,0,147,2.7,5281,0,5281,3794,196,5062,1464,139,23,0,55,147,2.7,380236.37890625,3399.56956438858
49677,10162,10075,36061013200,200886,92937,Census Tract 132,New York,New York County,5483,5336,5119,426,4614,0,3604,0,131,0,147,2.7,5281,0,5281,3794,196,5062,1464,139,23,0,55,147,2.7,380236.37890625,3399.56956438858
49678,10019,10019,36061013300,174355,0,Census Tract 133,New York,New York County,3211,2930,2744,63,2743,78,2080,32,467,45,281,8.8,2698,0,2698,2258,149,2485,420,46,0,20,65,448,14.0,304243.6953125,2288.0717426593
49679,10021,10021,36061013400,181779,0,Census Tract 134,New York,New York County,6933,6552,6391,477,5884,101,4368,0,462,0,381,5.5,6325,0,6325,5186,351,5801,1089,129,0,50,58,550,7.9,317263.10546875,2255.86661602025
49679,10075,10075,36061013400,181779,0,Census Tract 134,New York,New York County,6933,6552,6391,477,5884,101,4368,0,462,0,381,5.5,6325,0,6325,5186,351,5801,1089,129,0,50,58,550,7.9,317263.10546875,2255.86661602025
49680,10019,10019,36061013500,432329,401587,Census Tract 135,New York,New York County,4473,3993,3436,230,3702,398,2288,12,477,0,480,10.7,3871,0,3871,3183,335,3477,671,82,17,0,133,469,10.5,735167.58984375,8088.064088514391
49681,10028,10028,36061013600,219496,111000,Census Tract 136,New York,New York County,8235,7979,7888,443,6961,0,6049,0,737,0,256,3.1,7649,0,7649,6327,514,7135,1265,145,0,0,97,489,5.9,386216.9609375,2576.2476508914497
49681,10075,10075,36061013600,219496,111000,Census Tract 136,New York,New York County,8235,7979,7888,443,6961,0,6049,0,737,0,256,3.1,7649,0,7649,6327,514,7135,1265,145,0,0,97,489,5.9,386216.9609375,2576.2476508914497
49682,10019,10019,36061013700,226356,0,Census Tract 137,New York,New York County,3484,3381,3198,114,3022,74,2450,26,473,0,103,3.0,3276,0,3276,2683,205,2971,540,71,0,0,0,208,6.0,394987.359375,2519.98314455236
49683,10028,10028,36061013800,182091,0,Census Tract 138,New York,New York County,6840,6529,6484,344,5894,0,4559,0,631,0,311,4.5,6340,0,6340,5042,275,6065,1229,91,0,0,189,311,4.5,317839.5859375,2255.89005633873
49683,10075,10075,36061013800,182091,0,Census Tract 138,New York,New York County,6840,6529,6484,344,5894,0,4559,0,631,0,311,4.5,6340,0,6340,5042,275,6065,1229,91,0,0,189,311,4.5,317839.5859375,2255.89005633873
49684,10019,10019,36061013900,181605,0,Census Tract 139,New York,New York County,6302,5966,5695,790,4790,122,4113,0,169,0,336,5.3,5163,49,5114,4162,435,4671,944,8,8,0,234,905,14.4,316918.8515625,2322.73168928397
49685,10028,10028,36061014000,179108,0,Census Tract 140,New York,New York County,3971,3840,3663,391,3226,101,2618,59,190,0,131,3.3,3695,32,3663,2666,202,3426,909,131,23,0,59,217,5.5,312641.13671875,2344.75702892367
49685,10075,10075,36061014000,179108,0,Census Tract 140,New York,New York County,3971,3840,3663,391,3226,101,2618,59,190,0,131,3.3,3695,32,3663,2666,202,3426,909,131,23,0,59,217,5.5,312641.13671875,2344.75702892367
49686,10028,10028,36061014200,178987,0,Census Tract 142,New York,New York County,2224,2013,1933,85,1893,0,1509,0,187,0,211,9.5,2039,0,2039,1790,25,1904,229,194,8,0,0,185,8.3,312441.01171875,2347.0024421191
49686,10075,10075,36061014200,178987,0,Census Tract 142,New York,New York County,2224,2013,1933,85,1893,0,1509,0,187,0,211,9.5,2039,0,2039,1790,25,1904,229,194,8,0,0,185,8.3,312441.01171875,2347.0024421191
49688,10028,10028,36061014401,74319,0,Census Tract 144.01,New York,New York County,2553,2492,2395,183,2295,69,1697,0,269,0,61,2.4,2201,0,2201,1860,52,2117,284,69,0,0,187,165,6.5,129723.75,1616.0157640209698
49689,10028,10028,36061014402,176863,0,Census Tract 144.02,New York,New York County,3787,3717,3650,286,3353,0,2710,0,237,0,70,1.8,3635,16,3619,2730,174,3436,782,26,9,0,47,105,2.8,301928.68359375,2793.4556925232105
49689,10128,10128,36061014402,176863,0,Census Tract 144.02,New York,New York County,3787,3717,3650,286,3353,0,2710,0,237,0,70,1.8,3635,16,3619,2730,174,3436,782,26,9,0,47,105,2.8,301928.68359375,2793.4556925232105
49690,10019,10019,36061014500,177125,0,Census Tract 145,New York,New York County,2929,2868,2704,309,2471,73,1999,16,329,0,61,2.1,2770,0,2770,2148,188,2533,487,138,0,0,40,119,4.1,309122.703125,2360.70912508673
49690,10023,10023,36061014500,177125,0,Census Tract 145,New York,New York County,2929,2868,2704,309,2471,73,1999,16,329,0,61,2.1,2770,0,2770,2148,188,2533,487,138,0,0,40,119,4.1,309122.703125,2360.70912508673
49691,10028,10028,36061014601,74328,0,Census Tract 146.01,New York,New York County,2459,2395,2293,155,2172,37,1723,15,165,0,64,2.6,2384,0,2384,1899,212,2160,485,29,0,0,0,75,3.1,129747.37109375,1616.3349900679502
49692,10028,10028,36061014602,109193,0,Census Tract 146.02,New York,New York County,4482,4383,4287,231,4000,0,3057,0,138,0,99,2.2,4197,0,4197,3304,128,4069,893,66,0,0,102,183,4.1,190617.171875,1823.2607133217002
49692,10128,10128,36061014602,109193,0,Census Tract 146.02,New York,New York County,4482,4383,4287,231,4000,0,3057,0,138,0,99,2.2,4197,0,4197,3304,128,4069,893,66,0,0,102,183,4.1,190617.171875,1823.2607133217002
49693,10019,10019,36061014700,65414,0,Census Tract 147,New York,New York County,1598,1555,1531,21,1534,24,1131,0,363,0,43,2.7,1492,0,1492,1248,43,1421,228,36,16,0,63,43,2.7,114168.859375,1355.8333196378
49693,10023,10023,36061014700,65414,0,Census Tract 147,New York,New York County,1598,1555,1531,21,1534,24,1131,0,363,0,43,2.7,1492,0,1492,1248,43,1421,228,36,16,0,63,43,2.7,114168.859375,1355.8333196378
49694,10028,10028,36061014801,51979,0,Census Tract 148.01,New York,New York County,1516,1486,1425,133,1295,0,1022,0,62,0,30,2.0,1452,18,1434,1150,59,1367,275,18,0,0,34,30,2.0,90739.92578125,1263.01057060584
49695,10128,10128,36061014802,125620,0,Census Tract 148.02,New York,New York County,3382,3285,3146,207,2973,52,2376,0,225,0,97,2.9,3145,0,3145,2468,240,2861,598,90,16,16,80,157,4.6,219311.7421875,1889.9377933779601
49696,10023,10023,36061014900,174047,0,Census Tract 149,New York,New York County,2878,2800,2697,182,2588,54,1927,0,395,0,78,2.7,2755,0,2755,2495,147,2595,260,62,0,0,27,96,3.3,303773.59375,2290.00782261603
49697,10028,10028,36061015001,51643,0,Census Tract 150.01,New York,New York County,1071,1017,999,84,891,8,748,10,70,0,54,5.0,1011,0,1011,787,65,924,224,49,0,0,6,54,5.0,90155.25390625,1257.35906436741
49698,10028,10028,36061015002,125571,0,Census Tract 150.02,New York,New York County,2333,2302,2259,91,2104,0,1786,15,303,0,31,1.3,2295,0,2295,1870,122,2173,383,105,0,0,14,24,1.0,219231.57421875,1889.1177793599697
49698,10128,10128,36061015002,125571,0,Census Tract 150.02,New York,New York County,2333,2302,2259,91,2104,0,1786,15,303,0,31,1.3,2295,0,2295,1870,122,2173,383,105,0,0,14,24,1.0,219231.57421875,1889.1177793599697
49699,10019,10019,36061015100,333044,306023,Census Tract 151,New York,New York County,4555,3942,3281,165,3604,456,2201,0,695,0,613,13.5,3534,0,3534,2776,370,3000,727,0,0,16,89,932,20.5,610349.26171875,5171.17555742935
49699,10023,10023,36061015100,333044,306023,Census Tract 151,New York,New York County,4555,3942,3281,165,3604,456,2201,0,695,0,613,13.5,3534,0,3534,2776,370,3000,727,0,0,16,89,932,20.5,610349.26171875,5171.17555742935
49699,10069,10069,36061015100,333044,306023,Census Tract 151,New York,New York County,4555,3942,3281,165,3604,456,2201,0,695,0,613,13.5,3534,0,3534,2776,370,3000,727,0,0,16,89,932,20.5,610349.26171875,5171.17555742935
49700,10128,10128,36061015200,189340,529192,Census Tract 152,New York,New York County,3800,3189,2693,185,2948,251,2148,17,176,0,611,16.1,2749,14,2735,2248,222,2513,468,57,0,0,103,948,24.9,389147.02734375,5867.682894098771
49701,10023,10023,36061015300,174116,0,Census Tract 153,New York,New York County,5336,4955,4934,268,4515,0,3755,0,813,21,381,7.1,4776,0,4776,4193,121,4546,537,98,0,14,158,402,7.5,303920.890625,2284.47456882307
49702,10128,10128,36061015400,177371,0,Census Tract 154,New York,New York County,7198,6861,6477,792,6014,206,4345,0,134,0,337,4.7,5974,86,5888,4647,417,5443,1188,144,0,0,138,1086,15.1,309660.265625,2229.85066883057
49703,10023,10023,36061015500,197390,214654,Census Tract 155,New York,New York County,5831,5676,5368,419,5169,142,3978,0,572,0,155,2.7,5464,0,5464,4431,404,5035,982,76,0,0,135,232,4.0,352133.1953125,3594.2597709557103
49703,10069,10069,36061015500,197390,214654,Census Tract 155,New York,New York County,5831,5676,5368,419,5169,142,3978,0,572,0,155,2.7,5464,0,5464,4431,404,5035,982,76,0,0,135,232,4.0,352133.1953125,3594.2597709557103
49704,10128,10128,36061015601,73566,0,Census Tract 156.01,New York,New York County,2640,2472,2330,58,2348,23,1774,48,28,0,168,6.4,2343,0,2343,1762,151,2143,539,30,0,42,121,176,6.7,128443.5625,1612.20296987711
49705,10029,10029,36061015602,108755,0,Census Tract 156.02,New York,New York County,1055,936,823,24,899,28,674,0,45,0,119,11.3,903,0,903,676,32,860,227,11,0,0,6,146,13.8,189891.2109375,1821.9984309817498
49705,10128,10128,36061015602,108755,0,Census Tract 156.02,New York,New York County,1055,936,823,24,899,28,674,0,45,0,119,11.3,903,0,903,676,32,860,227,11,0,0,6,146,13.8,189891.2109375,1821.9984309817498
49706,10023,10023,36061015700,182396,0,Census Tract 157,New York,New York County,5358,5164,5066,247,4824,32,4027,0,334,0,194,3.6,5076,0,5076,4235,235,4714,757,127,84,0,88,194,3.6,318395.69140625,2326.86034750196
49707,10128,10128,36061015801,125754,0,Census Tract 158.01,New York,New York County,2478,2447,2447,54,2296,0,1811,0,164,0,31,1.3,2341,0,2341,2040,173,2136,301,84,0,0,85,52,2.1,219565.609375,1890.35175691525
49708,10029,10029,36061015802,51510,0,Census Tract 158.02,New York,New York County,1757,1736,1680,68,1555,29,1258,0,61,0,21,1.2,1660,0,1660,1157,46,1614,493,49,0,0,26,71,4.0,89940.27734375,1259.7977198825
49708,10128,10128,36061015802,51510,0,Census Tract 158.02,New York,New York County,1757,1736,1680,68,1555,29,1258,0,61,0,21,1.2,1660,0,1660,1157,46,1614,493,49,0,0,26,71,4.0,89940.27734375,1259.7977198825
49709,10023,10023,36061015900,175127,110770,Census Tract 159,New York,New York County,5215,4969,4851,307,4413,0,3646,20,425,0,246,4.7,4985,0,4985,3893,159,4826,1020,23,0,0,0,230,4.4,305728.90625,2623.22222676073
49709,10069,10069,36061015900,175127,110770,Census Tract 159,New York,New York County,5215,4969,4851,307,4413,0,3646,20,425,0,246,4.7,4985,0,4985,3893,159,4826,1020,23,0,0,0,230,4.4,305728.90625,2623.22222676073
49710,10128,10128,36061016001,125615,0,Census Tract 160.01,New York,New York County,1671,1653,1641,130,1415,12,1221,0,112,0,18,1.1,1630,0,1630,1389,89,1528,241,24,0,0,34,7,0.4,219331.70703125,1892.78446308235
49711,10029,10029,36061016002,51424,0,Census Tract 160.02,New York,New York County,1270,1222,1169,84,1094,34,870,10,51,0,48,3.8,1131,0,1131,793,69,1047,338,26,0,0,10,129,10.2,89795.5,1256.9076824717401
49712,10023,10023,36061016100,155741,0,Census Tract 161,New York,New York County,3443,3313,3165,97,3106,27,2550,0,414,0,130,3.8,3207,25,3182,2596,290,2850,586,92,0,0,97,139,4.0,271886.4375,2303.61458702779
