Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,All Households that Have One or More Types of Computing Devices,All Households that Have a Desktop or Laptop,Households that have a Desktop or Laptop with No Other Type of Computing Device,All Households that Have a Smartphone,Households that Have a Smartphone with No Other Type of Computing Device,All Households that Have a Tablet or Other Portable Wireless Computer,Households that Have a Tablet or Other Portable Wireless Computer with No Other Type of Computing Device,All Households that Have an Other Computer,Households that Have an Other Computer with No Other Type of Computing Device,Households that Have No Computer,"Percent of Households that Have No Computer, Smartphone, or Tablet",All Households with an Internet Subscription,Households with Dial-up with No Other Type of Internet Subscription,Households with Broadband of Any Type,All Households with Cellular Data Plan,Households with Cellular Data Plan with No Other Type of Internet Subscription,"All Households with Broadband such as Cable, Fiber Optic or DSL","Households with Broadband such as Cable, Fiber Optic or DSL with No Other Type of Internet Subscription",All Households with Satellite Internet Service,Households with Satellite Internet Service with No Other Type of Internet Subscription,Households with Other Service with No Other Type of Internet Subscription,Households with Internet Access without a Subscription,Households with No Internet Access,Percent of Households with No Internet Access,Shape Area,Shape Length
48205,10455,10455,36005006500,261808,0,Census Tract 65,New York,Bronx County,1948,1628,1146,66,1479,255,912,63,158,0,320,16.4,1362,0,1362,1137,312,1050,146,22,0,0,27,559,28.7,457567.75390625,3951.1272632859495
48206,10451,10451,36005006700,212430,0,Census Tract 67,New York,Bronx County,2336,1892,1277,52,1707,234,1303,0,89,0,444,19.0,1272,0,1272,909,173,1028,285,84,42,0,171,893,38.2,371291.078125,2629.39409586561
48206,10455,10455,36005006700,212430,0,Census Tract 67,New York,Bronx County,2336,1892,1277,52,1707,234,1303,0,89,0,444,19.0,1272,0,1272,909,173,1028,285,84,42,0,171,893,38.2,371291.078125,2629.39409586561
48207,10472,10472,36005006800,154374,0,Census Tract 68,New York,Bronx County,1016,939,740,63,858,84,710,10,9,0,77,7.6,761,12,749,496,62,678,253,9,0,0,97,158,15.6,269893.3671875,2244.35394162728
48208,10451,10451,36005006900,187977,0,Census Tract 69,New York,Bronx County,2739,2326,1848,115,2149,126,1636,35,46,0,413,15.1,1892,0,1892,1637,134,1737,204,21,0,0,86,761,27.8,328576.015625,2631.9937899696
48208,10455,10455,36005006900,187977,0,Census Tract 69,New York,Bronx County,2739,2326,1848,115,2149,126,1636,35,46,0,413,15.1,1892,0,1892,1637,134,1737,204,21,0,0,86,761,27.8,328576.015625,2631.9937899696
48209,10472,10472,36005007000,204891,0,Census Tract 70,New York,Bronx County,1296,1105,928,122,928,86,552,30,113,0,191,14.7,1000,0,1000,621,24,965,328,48,11,0,75,221,17.1,358224.9375,2511.64731016121
48210,10451,10451,36005007100,264262,0,Census Tract 71,New York,Bronx County,996,906,687,73,748,128,577,18,37,10,90,9.0,816,0,816,602,94,694,166,41,28,0,41,139,14.0,461864.9921875,3476.0949424859496
48210,10455,10455,36005007100,264262,0,Census Tract 71,New York,Bronx County,996,906,687,73,748,128,577,18,37,10,90,9.0,816,0,816,602,94,694,166,41,28,0,41,139,14.0,461864.9921875,3476.0949424859496
48210,10456,10456,36005007100,264262,0,Census Tract 71,New York,Bronx County,996,906,687,73,748,128,577,18,37,10,90,9.0,816,0,816,602,94,694,166,41,28,0,41,139,14.0,461864.9921875,3476.0949424859496
