Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,"Households whose income in the past 12 months was less than $10,000","Households whose income in the past 12 months was $10,000 to $14,999","Households whose income in the past 12 months was $15,000 to $19,999","Households whose income in the past 12 months was $20,000 to $24,999","Households whose income in the past 12 months was $25,000 to $29,999","Households whose income in the past 12 months was $30,000 to $34,999","Households whose income in the past 12 months was $35,000 to $39,999","Households whose income in the past 12 months was $40,000 to $44,999","Households whose income in the past 12 months was $45,000 to $49,999","Households whose income in the past 12 months was $50,000 to $59,999","Households whose income in the past 12 months was $60,000 to $74,999","Households whose income in the past 12 months was $75,000 to $99,999","Households whose income in the past 12 months was $100,000 to $124,999","Households whose income in the past 12 months was $125,000 to $149,999","Households whose income in the past 12 months was $150,000 to $199,999","Households whose income in the past 12 months was $200,000 or more","Households whose income in the past 12 months was less than $75,000","Percent of households whose income in the past 12 months was less than $75,000","Percent of households whose income in the past 12 months was $75,000 to $99,999","Households whose income in the past 12 months was at least $100,000","Percent of households whose income in the past 12 months was at least $100,000",Shape Area,Shape Length
45824,10451,10451,36005006500,261808,0,Census Tract 65,New York,Bronx County,1948.0,484.0,199.0,169.0,170.0,182.0,86.0,142.0,152.0,39.0,82.0,25.0,93.0,93.0,15.0,17.0,0.0,1730.0,88.8,4.8,125.0,6.4,457567.75390625,3951.1272632859495
45824,10455,10455,36005006500,261808,0,Census Tract 65,New York,Bronx County,1948.0,484.0,199.0,169.0,170.0,182.0,86.0,142.0,152.0,39.0,82.0,25.0,93.0,93.0,15.0,17.0,0.0,1730.0,88.8,4.8,125.0,6.4,457567.75390625,3951.1272632859495
45825,10451,10451,36005006700,212430,0,Census Tract 67,New York,Bronx County,2336.0,547.0,229.0,325.0,211.0,192.0,45.0,85.0,77.0,91.0,108.0,26.0,159.0,39.0,93.0,0.0,109.0,1936.0,82.9,6.8,241.0,10.3,371291.078125,2629.39409586561
45825,10455,10455,36005006700,212430,0,Census Tract 67,New York,Bronx County,2336.0,547.0,229.0,325.0,211.0,192.0,45.0,85.0,77.0,91.0,108.0,26.0,159.0,39.0,93.0,0.0,109.0,1936.0,82.9,6.8,241.0,10.3,371291.078125,2629.39409586561
45826,10472,10472,36005006800,154374,0,Census Tract 68,New York,Bronx County,1016.0,131.0,90.0,17.0,10.0,51.0,24.0,91.0,31.0,22.0,124.0,102.0,72.0,95.0,118.0,38.0,0.0,693.0,68.2,7.1,251.0,24.7,269893.3671875,2244.35394162728
45827,10451,10451,36005006900,187977,0,Census Tract 69,New York,Bronx County,2739.0,528.0,313.0,232.0,41.0,252.0,175.0,113.0,56.0,176.0,165.0,172.0,276.0,40.0,19.0,153.0,28.0,2223.0,81.2,10.1,240.0,8.8,328576.015625,2631.9937899696
45827,10455,10455,36005006900,187977,0,Census Tract 69,New York,Bronx County,2739.0,528.0,313.0,232.0,41.0,252.0,175.0,113.0,56.0,176.0,165.0,172.0,276.0,40.0,19.0,153.0,28.0,2223.0,81.2,10.1,240.0,8.8,328576.015625,2631.9937899696
45828,10472,10472,36005007000,204891,0,Census Tract 70,New York,Bronx County,1296.0,78.0,85.0,65.0,118.0,118.0,125.0,64.0,29.0,22.0,120.0,123.0,94.0,104.0,80.0,28.0,43.0,947.0,73.1,7.3,255.0,19.7,358224.9375,2511.64731016121
45829,10451,10451,36005007100,264262,0,Census Tract 71,New York,Bronx County,996.0,151.0,63.0,41.0,6.0,81.0,63.0,60.0,57.0,20.0,54.0,115.0,133.0,52.0,9.0,67.0,24.0,711.0,71.4,13.4,152.0,15.3,461864.9921875,3476.0949424859496
45829,10455,10455,36005007100,264262,0,Census Tract 71,New York,Bronx County,996.0,151.0,63.0,41.0,6.0,81.0,63.0,60.0,57.0,20.0,54.0,115.0,133.0,52.0,9.0,67.0,24.0,711.0,71.4,13.4,152.0,15.3,461864.9921875,3476.0949424859496
45829,10456,10456,36005007100,264262,0,Census Tract 71,New York,Bronx County,996.0,151.0,63.0,41.0,6.0,81.0,63.0,60.0,57.0,20.0,54.0,115.0,133.0,52.0,9.0,67.0,24.0,711.0,71.4,13.4,152.0,15.3,461864.9921875,3476.0949424859496
45830,10472,10472,36005007200,213050,0,Census Tract 72,New York,Bronx County,1633.0,164.0,144.0,202.0,81.0,126.0,31.0,80.0,83.0,157.0,121.0,109.0,105.0,60.0,63.0,49.0,58.0,1298.0,79.5,6.4,230.0,14.1,372503.203125,2997.19097519659
45831,10455,10455,36005007300,140161,0,Census Tract 73,New York,Bronx County,1428.0,312.0,264.0,118.0,142.0,129.0,62.0,45.0,24.0,103.0,27.0,97.0,70.0,16.0,8.0,11.0,0.0,1323.0,92.6,4.9,35.0,2.5,244939.6484375,2046.2332310006698
45832,10473,10473,36005007400,187162,0,Census Tract 74,New York,Bronx County,1326.0,144.0,174.0,68.0,92.0,69.0,61.0,84.0,62.0,0.0,82.0,121.0,131.0,97.0,28.0,72.0,41.0,957.0,72.2,9.9,238.0,17.9,327126.5625,2584.65926290808
45833,10455,10455,36005007500,227618,0,Census Tract 75,New York,Bronx County,2296.0,371.0,339.0,205.0,78.0,137.0,108.0,131.0,119.0,69.0,279.0,189.0,143.0,82.0,15.0,18.0,13.0,2025.0,88.2,6.2,128.0,5.6,397828.0,2948.8213031434
45833,10456,10456,36005007500,227618,0,Census Tract 75,New York,Bronx County,2296.0,371.0,339.0,205.0,78.0,137.0,108.0,131.0,119.0,69.0,279.0,189.0,143.0,82.0,15.0,18.0,13.0,2025.0,88.2,6.2,128.0,5.6,397828.0,2948.8213031434
45834,10472,10472,36005007600,217217,0,Census Tract 76,New York,Bronx County,1670.0,261.0,131.0,123.0,99.0,131.0,81.0,61.0,72.0,119.0,129.0,179.0,147.0,76.0,42.0,10.0,9.0,1386.0,83.0,8.8,137.0,8.2,379812.50390625,2682.26680639098
45835,10455,10455,36005007700,112827,0,Census Tract 77,New York,Bronx County,605.0,83.0,53.0,39.0,66.0,17.0,26.0,19.0,16.0,89.0,28.0,83.0,37.0,15.0,16.0,6.0,12.0,519.0,85.8,6.1,49.0,8.1,197201.9140625,1813.3161524491
45835,10456,10456,36005007700,112827,0,Census Tract 77,New York,Bronx County,605.0,83.0,53.0,39.0,66.0,17.0,26.0,19.0,16.0,89.0,28.0,83.0,37.0,15.0,16.0,6.0,12.0,519.0,85.8,6.1,49.0,8.1,197201.9140625,1813.3161524491
45835,10459,10459,36005007700,112827,0,Census Tract 77,New York,Bronx County,605.0,83.0,53.0,39.0,66.0,17.0,26.0,19.0,16.0,89.0,28.0,83.0,37.0,15.0,16.0,6.0,12.0,519.0,85.8,6.1,49.0,8.1,197201.9140625,1813.3161524491
45836,10472,10472,36005007800,311879,0,Census Tract 78,New York,Bronx County,2117.0,258.0,230.0,150.0,91.0,109.0,111.0,53.0,75.0,34.0,108.0,183.0,239.0,235.0,80.0,89.0,72.0,1402.0,66.2,11.3,476.0,22.5,545271.1328125,3558.5982149183797
45837,10455,10455,36005007900,197930,0,Census Tract 79,New York,Bronx County,2377.0,510.0,438.0,144.0,76.0,126.0,279.0,44.0,201.0,40.0,189.0,79.0,143.0,62.0,0.0,0.0,46.0,2126.0,89.4,6.0,108.0,4.5,345908.73046875,3026.8942589926896
45838,10455,10455,36005008300,213932,0,Census Tract 83,New York,Bronx County,2058.0,363.0,251.0,176.0,135.0,105.0,90.0,152.0,103.0,60.0,98.0,182.0,112.0,67.0,58.0,23.0,83.0,1715.0,83.3,5.4,231.0,11.2,373852.25390625,2758.66681398839
45839,10473,10473,36005008400,156789,0,Census Tract 84,New York,Bronx County,743.0,35.0,21.0,27.0,12.0,43.0,18.0,34.0,0.0,12.0,9.0,100.0,165.0,99.0,52.0,78.0,38.0,311.0,41.9,22.2,267.0,35.9,274010.0078125,2644.06542709036
45840,10455,10455,36005008500,181658,0,Census Tract 85,New York,Bronx County,1933.0,302.0,288.0,116.0,116.0,137.0,249.0,74.0,51.0,54.0,154.0,84.0,106.0,122.0,44.0,20.0,16.0,1625.0,84.1,5.5,202.0,10.5,317476.48828125,2600.68543501319
45840,10459,10459,36005008500,181658,0,Census Tract 85,New York,Bronx County,1933.0,302.0,288.0,116.0,116.0,137.0,249.0,74.0,51.0,54.0,154.0,84.0,106.0,122.0,44.0,20.0,16.0,1625.0,84.1,5.5,202.0,10.5,317476.48828125,2600.68543501319
45841,10473,10473,36005008600,187658,0,Census Tract 86,New York,Bronx County,1466.0,390.0,203.0,66.0,108.0,74.0,115.0,64.0,65.0,19.0,43.0,124.0,62.0,11.0,64.0,43.0,15.0,1271.0,86.7,4.2,133.0,9.1,327997.58203125,2589.4099737611105
45842,10459,10459,36005008700,213574,0,Census Tract 87,New York,Bronx County,2037.0,421.0,341.0,141.0,94.0,106.0,103.0,200.0,120.0,37.0,99.0,114.0,137.0,101.0,0.0,23.0,0.0,1776.0,87.2,6.7,124.0,6.1,373289.80859375,2801.5376865798803
45843,10459,10459,36005008900,110291,0,Census Tract 89,New York,Bronx County,1155.0,259.0,158.0,55.0,108.0,36.0,43.0,128.0,54.0,11.0,63.0,59.0,118.0,44.0,0.0,19.0,0.0,974.0,84.3,10.2,63.0,5.5,192765.80078125,2102.59626956035
45844,10465,10465,36005009000,1024677,1162033,Census Tract 90,New York,Bronx County,1197.0,211.0,171.0,89.0,85.0,97.0,83.0,0.0,14.0,53.0,81.0,85.0,66.0,56.0,26.0,21.0,59.0,969.0,81.0,5.5,162.0,13.5,1778745.59375,11670.9095454748
45844,10473,10473,36005009000,1024677,1162033,Census Tract 90,New York,Bronx County,1197.0,211.0,171.0,89.0,85.0,97.0,83.0,0.0,14.0,53.0,81.0,85.0,66.0,56.0,26.0,21.0,59.0,969.0,81.0,5.5,162.0,13.5,1778745.59375,11670.9095454748
45845,10462,10462,36005009200,310475,0,Census Tract 92,New York,Bronx County,1833.0,188.0,68.0,164.0,116.0,101.0,49.0,117.0,72.0,83.0,154.0,159.0,217.0,181.0,29.0,80.0,55.0,1271.0,69.3,11.8,345.0,18.8,542861.55859375,3696.42321185825
45846,10455,10455,36005009300,2307627,1595761,Census Tract 93,New York,Bronx County,1693.0,351.0,129.0,187.0,77.0,38.0,80.0,107.0,197.0,39.0,55.0,151.0,104.0,65.0,68.0,45.0,0.0,1411.0,83.3,6.1,178.0,10.5,4018113.5390625,10812.8062755401
45846,10474,10474,36005009300,2307627,1595761,Census Tract 93,New York,Bronx County,1693.0,351.0,129.0,187.0,77.0,38.0,80.0,107.0,197.0,39.0,55.0,151.0,104.0,65.0,68.0,45.0,0.0,1411.0,83.3,6.1,178.0,10.5,4018113.5390625,10812.8062755401
45847,10461,10461,36005009600,703455,15353,Census Tract 96,New York,Bronx County,774.0,72.0,75.0,61.0,66.0,54.0,31.0,0.0,17.0,16.0,80.0,77.0,110.0,53.0,17.0,13.0,32.0,549.0,70.9,14.2,115.0,14.9,1256916.20703125,5046.2527646485105
45847,10462,10462,36005009600,703455,15353,Census Tract 96,New York,Bronx County,774.0,72.0,75.0,61.0,66.0,54.0,31.0,0.0,17.0,16.0,80.0,77.0,110.0,53.0,17.0,13.0,32.0,549.0,70.9,14.2,115.0,14.9,1256916.20703125,5046.2527646485105
45848,10473,10473,36005009800,517450,0,Census Tract 98,New York,Bronx County,1682.0,89.0,107.0,101.0,23.0,53.0,76.0,89.0,139.0,50.0,50.0,196.0,216.0,149.0,118.0,133.0,93.0,973.0,57.8,12.8,493.0,29.3,904578.65234375,4113.522147690979
45849,10465,10465,36005011000,2069297,452399,Census Tract 110,New York,Bronx County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,3607727.734375,10518.245501281
45850,10474,10474,36005011502,336295,10037,Census Tract 115.02,New York,Bronx County,1250.0,219.0,230.0,138.0,87.0,53.0,67.0,45.0,88.0,86.0,23.0,42.0,102.0,14.0,0.0,0.0,56.0,1078.0,86.2,8.2,70.0,5.6,587784.43359375,3064.39179160365
45851,10474,10474,36005011700,1357971,431176,Census Tract 117,New York,Bronx County,545.0,134.0,29.0,81.0,67.0,36.0,28.0,37.0,48.0,5.0,12.0,29.0,15.0,7.0,5.0,6.0,6.0,506.0,92.8,2.8,24.0,4.4,2391680.265625,7067.76299011948
45852,10465,10465,36005011800,989676,2876319,Census Tract 118,New York,Bronx County,1605.0,62.0,151.0,39.0,37.0,33.0,15.0,31.0,42.0,83.0,47.0,188.0,255.0,203.0,147.0,104.0,168.0,728.0,45.4,15.9,622.0,38.8,1890836.83203125,11249.0442814835
45853,10459,10459,36005011900,166999,0,Census Tract 119,New York,Bronx County,1920.0,426.0,168.0,136.0,130.0,136.0,152.0,137.0,113.0,44.0,174.0,91.0,94.0,78.0,8.0,11.0,22.0,1707.0,88.9,4.9,119.0,6.2,291913.44921875,2224.33813512231
