Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population 25 Years and Over in Households,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households,All Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer without an Internet Subscription,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have No Computer,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households,All Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer without an Internet Subscription,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households,All Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer without an Internet Subsription,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer,Population 25 Years and Over in Households that Have No Computer,Percent of Population 25 Years and Over in Households that Have No Computer,Percent of Population 25 Years and Over who are Not High School Graduates in Households that Have No Computer,Percent of Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer,Percent of Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer,Shape Area,Shape Length
48698,11219,11219,36047024200,191453,0,Census Tract 242,New York,Kings County,1460,389,321,0,293,28,68,798,740,10,554,176,58,273,237,0,226,11,36,162,11.1,17.5,7.3,13.2,332693.88671875,2798.0354266014897
48699,11205,11205,36047024300,154349,0,Census Tract 243,New York,Kings County,3203,592,428,0,347,81,164,920,697,0,671,26,223,1691,1684,0,1618,66,7,394,12.3,27.7,24.2,0.4,268712.34375,2129.10353682111
48699,11216,11216,36047024300,154349,0,Census Tract 243,New York,Kings County,3203,592,428,0,347,81,164,920,697,0,671,26,223,1691,1684,0,1618,66,7,394,12.3,27.7,24.2,0.4,268712.34375,2129.10353682111
48700,11204,11204,36047024400,155278,0,Census Tract 244,New York,Kings County,1866,398,319,0,247,72,79,1120,966,0,781,185,154,348,342,0,306,36,6,239,12.8,19.8,13.8,1.7,269805.60546875,2522.44858781975
48701,11216,11216,36047024500,166849,0,Census Tract 245,New York,Kings County,3210,374,276,0,200,76,98,1327,1177,0,1045,132,150,1509,1490,0,1353,137,19,267,8.3,26.2,11.3,1.3,290437.62890625,2246.05348935109
48702,11204,11204,36047024600,172880,0,Census Tract 246,New York,Kings County,1829,442,326,0,291,35,116,850,724,0,638,86,126,537,500,4,483,13,37,279,15.3,26.2,14.8,6.9,300357.44921875,2725.09977642229
48703,11216,11216,36047024700,179739,0,Census Tract 247,New York,Kings County,1675,249,218,0,186,32,31,864,719,12,634,73,145,562,562,0,514,48,0,176,10.5,12.4,16.8,0.0,312842.546875,2987.5957267254603
48704,11204,11204,36047024800,176029,0,Census Tract 248,New York,Kings County,1705,617,537,0,507,30,80,748,698,0,623,75,50,340,326,0,308,18,14,144,8.4,13.0,6.7,4.1,305854.25,2577.61189239198
48705,11216,11216,36047024900,168496,0,Census Tract 249,New York,Kings County,3295,284,251,0,200,51,33,1396,1227,0,1062,165,169,1615,1615,0,1531,84,0,202,6.1,11.6,12.1,0.0,293303.22265625,2325.35773238065
48706,11219,11219,36047025000,173505,0,Census Tract 250,New York,Kings County,1280,653,564,23,541,0,89,402,388,12,374,2,14,225,225,0,225,0,0,103,8.0,13.6,3.5,0.0,301493.64453125,2387.0496590489397
48707,11216,11216,36047025100,138489,0,Census Tract 251,New York,Kings County,2525,519,317,0,269,48,202,1158,978,0,951,27,180,848,835,0,835,0,13,395,15.6,38.9,15.5,1.5,241103.94921875,2044.02646750377
48708,11204,11204,36047025200,181275,0,Census Tract 252,New York,Kings County,3584,819,672,0,625,47,147,1646,1506,0,1343,163,140,1119,1059,0,1059,0,60,347,9.7,17.9,8.5,5.4,314956.12109375,2685.72772046621
48709,11206,11206,36047025300,161836,0,Census Tract 253,New York,Kings County,2267,213,111,0,111,0,102,1109,1009,25,958,26,100,945,903,0,903,0,42,244,10.8,47.9,9.0,4.4,281791.94921875,2264.47236209382
48709,11216,11216,36047025300,161836,0,Census Tract 253,New York,Kings County,2267,213,111,0,111,0,102,1109,1009,25,958,26,100,945,903,0,903,0,42,244,10.8,47.9,9.0,4.4,281791.94921875,2264.47236209382
48710,11204,11204,36047025400,175492,0,Census Tract 254,New York,Kings County,2955,916,727,0,662,65,189,1243,1112,0,1000,112,131,796,723,0,622,101,73,393,13.3,20.6,10.5,9.2,304882.75,2531.5354409430497
48711,11206,11206,36047025500,138635,0,Census Tract 255,New York,Kings County,3166,1313,994,8,843,143,319,1584,1341,55,1087,199,243,269,234,0,225,9,35,597,18.9,24.3,15.3,13.0,241430.265625,2047.83413372371
48712,11204,11204,36047025600,173279,0,Census Tract 256,New York,Kings County,2107,820,652,0,652,0,168,839,761,0,685,76,78,448,406,0,373,33,42,288,13.7,20.5,9.3,9.4,301022.140625,2529.82306483179
48713,11206,11206,36047025700,181113,0,Census Tract 257,New York,Kings County,1327,259,229,0,201,28,30,680,600,0,579,21,80,388,388,0,388,0,0,110,8.3,11.6,11.8,0.0,315411.66015625,2591.00849191263
48714,11204,11204,36047025800,170222,0,Census Tract 258,New York,Kings County,3155,1057,917,0,873,44,140,1195,1076,0,1031,45,119,903,841,0,822,19,62,321,10.2,13.2,10.0,6.9,295695.84375,2513.3622338235896
48715,11206,11206,36047025901,80237,0,Census Tract 259.01,New York,Kings County,1398,305,187,0,149,38,118,624,565,0,520,45,59,469,458,0,432,26,11,188,13.4,38.7,9.5,2.3,139719.703125,1715.43380020026
48716,11206,11206,36047025902,59594,0,Census Tract 259.02,New York,Kings County,1849,784,574,0,412,162,210,957,787,0,622,165,170,108,108,0,108,0,0,380,20.6,26.8,17.8,0.0,103779.28515625,1291.8418341801
48717,11204,11204,36047026000,162864,0,Census Tract 260,New York,Kings County,2506,808,713,15,639,59,95,1083,971,8,850,113,112,615,586,16,553,17,29,236,9.4,11.8,10.3,4.7,282945.09765625,2289.5391996285503
48718,11206,11206,36047026100,199418,0,Census Tract 261,New York,Kings County,3440,545,433,0,423,10,112,1639,1521,0,1382,139,118,1256,1256,0,1256,0,0,230,6.7,20.6,7.2,0.0,347227.953125,2364.93705399269
48718,11216,11216,36047026100,199418,0,Census Tract 261,New York,Kings County,3440,545,433,0,423,10,112,1639,1521,0,1382,139,118,1256,1256,0,1256,0,0,230,6.7,20.6,7.2,0.0,347227.953125,2364.93705399269
48718,11221,11221,36047026100,199418,0,Census Tract 261,New York,Kings County,3440,545,433,0,423,10,112,1639,1521,0,1382,139,118,1256,1256,0,1256,0,0,230,6.7,20.6,7.2,0.0,347227.953125,2364.93705399269
48719,11204,11204,36047026200,157859,0,Census Tract 262,New York,Kings County,1831,596,486,6,425,55,110,757,711,5,625,81,46,478,428,0,414,14,50,206,11.3,18.5,6.1,10.5,274264.25,2164.17990293785
48719,11219,11219,36047026200,157859,0,Census Tract 262,New York,Kings County,1831,596,486,6,425,55,110,757,711,5,625,81,46,478,428,0,414,14,50,206,11.3,18.5,6.1,10.5,274264.25,2164.17990293785
48719,11228,11228,36047026200,157859,0,Census Tract 262,New York,Kings County,1831,596,486,6,425,55,110,757,711,5,625,81,46,478,428,0,414,14,50,206,11.3,18.5,6.1,10.5,274264.25,2164.17990293785
48720,11216,11216,36047026300,119604,0,Census Tract 263,New York,Kings County,1387,220,180,0,132,48,40,595,490,0,383,107,105,572,554,0,527,27,18,163,11.8,18.2,17.6,3.1,208238.98046875,1929.17052200314
48720,11221,11221,36047026300,119604,0,Census Tract 263,New York,Kings County,1387,220,180,0,132,48,40,595,490,0,383,107,105,572,554,0,527,27,18,163,11.8,18.2,17.6,3.1,208238.98046875,1929.17052200314
48721,11204,11204,36047026400,189454,0,Census Tract 264,New York,Kings County,3404,1263,1114,19,913,182,149,1409,1355,0,1291,64,54,732,711,0,696,15,21,224,6.6,11.8,3.8,2.9,329120.828125,2851.9038567787
48721,11214,11214,36047026400,189454,0,Census Tract 264,New York,Kings County,3404,1263,1114,19,913,182,149,1409,1355,0,1291,64,54,732,711,0,696,15,21,224,6.6,11.8,3.8,2.9,329120.828125,2851.9038567787
48722,11216,11216,36047026500,159608,0,Census Tract 265,New York,Kings County,2834,594,466,16,450,0,128,1190,1055,19,829,207,135,1050,1030,0,1016,14,20,283,10.0,21.5,11.3,1.9,277866.078125,2147.7029746091503
48722,11221,11221,36047026500,159608,0,Census Tract 265,New York,Kings County,2834,594,466,16,450,0,128,1190,1055,19,829,207,135,1050,1030,0,1016,14,20,283,10.0,21.5,11.3,1.9,277866.078125,2147.7029746091503
48723,11204,11204,36047026600,165897,0,Census Tract 266,New York,Kings County,2557,974,886,0,817,69,88,991,980,0,948,32,11,592,578,0,542,36,14,113,4.4,9.0,1.1,2.4,288176.95703125,3095.34926575127
48724,11216,11216,36047026700,159562,0,Census Tract 267,New York,Kings County,3131,380,213,0,186,27,167,1240,1165,0,1001,164,75,1511,1468,0,1287,181,43,285,9.1,43.9,6.0,2.8,277760.71484375,2146.8373488504003
48724,11221,11221,36047026700,159562,0,Census Tract 267,New York,Kings County,3131,380,213,0,186,27,167,1240,1165,0,1001,164,75,1511,1468,0,1287,181,43,285,9.1,43.9,6.0,2.8,277760.71484375,2146.8373488504003
48725,11204,11204,36047026800,178969,0,Census Tract 268,New York,Kings County,2752,689,560,0,529,31,129,1276,1199,0,1176,23,77,787,787,0,769,18,0,206,7.5,18.7,6.0,0.0,310863.9296875,2545.8502774527
48725,11214,11214,36047026800,178969,0,Census Tract 268,New York,Kings County,2752,689,560,0,529,31,129,1276,1199,0,1176,23,77,787,787,0,769,18,0,206,7.5,18.7,6.0,0.0,310863.9296875,2545.8502774527
48726,11216,11216,36047026900,133946,0,Census Tract 269,New York,Kings County,2308,250,180,0,180,0,70,1067,904,0,795,109,163,991,991,0,980,11,0,233,10.1,28.0,15.3,0.0,233151.09765625,2029.85013876573
48727,11214,11214,36047027000,134003,0,Census Tract 270,New York,Kings County,1583,210,140,0,124,16,70,689,590,20,530,40,99,684,618,14,569,35,66,235,14.8,33.3,14.4,9.6,232729.97265625,2112.50107326728
48728,11213,11213,36047027100,245356,0,Census Tract 271,New York,Kings County,1859,215,197,0,165,32,18,996,925,0,845,80,71,648,604,0,565,39,44,133,7.2,8.4,7.1,6.8,427044.94140625,3784.6871769089003
48728,11216,11216,36047027100,245356,0,Census Tract 271,New York,Kings County,1859,215,197,0,165,32,18,996,925,0,845,80,71,648,604,0,565,39,44,133,7.2,8.4,7.1,6.8,427044.94140625,3784.6871769089003
48729,11214,11214,36047027200,132147,0,Census Tract 272,New York,Kings County,2624,643,516,0,442,74,127,1262,1219,0,1194,25,43,719,660,0,660,0,59,229,8.7,19.8,3.4,8.2,229521.18359375,2931.86138837047
48730,11216,11216,36047027300,149700,0,Census Tract 273,New York,Kings County,2396,288,217,0,165,52,71,1413,1260,0,1044,216,153,695,695,0,625,70,0,224,9.3,24.7,10.8,0.0,260571.09375,2119.4010723680803
48730,11233,11233,36047027300,149700,0,Census Tract 273,New York,Kings County,2396,288,217,0,165,52,71,1413,1260,0,1044,216,153,695,695,0,625,70,0,224,9.3,24.7,10.8,0.0,260571.09375,2119.4010723680803
48731,11204,11204,36047027400,163366,0,Census Tract 274,New York,Kings County,2257,627,547,3,486,58,80,1050,954,4,911,39,96,580,560,4,556,0,20,196,8.7,12.8,9.1,3.4,283764.8203125,2480.95869884738
48731,11214,11214,36047027400,163366,0,Census Tract 274,New York,Kings County,2257,627,547,3,486,58,80,1050,954,4,911,39,96,580,560,4,556,0,20,196,8.7,12.8,9.1,3.4,283764.8203125,2480.95869884738
48732,11216,11216,36047027500,162078,0,Census Tract 275,New York,Kings County,3098,255,221,0,189,32,34,1530,1411,0,1259,152,119,1313,1273,17,1208,48,40,193,6.2,13.3,7.8,3.0,282141.078125,2167.20590688739
48732,11221,11221,36047027500,162078,0,Census Tract 275,New York,Kings County,3098,255,221,0,189,32,34,1530,1411,0,1259,152,119,1313,1273,17,1208,48,40,193,6.2,13.3,7.8,3.0,282141.078125,2167.20590688739
48732,11233,11233,36047027500,162078,0,Census Tract 275,New York,Kings County,3098,255,221,0,189,32,34,1530,1411,0,1259,152,119,1313,1273,17,1208,48,40,193,6.2,13.3,7.8,3.0,282141.078125,2167.20590688739
48733,11214,11214,36047027600,149396,0,Census Tract 276,New York,Kings County,2713,821,647,0,628,19,174,1145,1086,0,1010,76,59,747,747,0,639,108,0,233,8.6,21.2,5.2,0.0,259498.80859375,2515.06188194198
48734,11221,11221,36047027700,162108,0,Census Tract 277,New York,Kings County,3023,448,326,0,236,90,122,1677,1315,0,1048,267,362,898,849,0,800,49,49,533,17.6,27.2,21.6,5.5,282215.82421875,2167.50808788379
48735,11214,11214,36047027800,160472,0,Census Tract 278,New York,Kings County,2503,647,553,0,418,135,94,1093,984,0,870,114,109,763,747,0,721,26,16,219,8.7,14.5,10.0,2.1,278706.33203125,2452.01784326485
48736,11221,11221,36047027900,161924,0,Census Tract 279,New York,Kings County,2707,480,345,0,294,51,135,1152,1001,0,879,122,151,1075,1035,0,906,129,40,326,12.0,28.1,13.1,3.7,281918.234375,2166.74285745633
48737,11214,11214,36047028000,139723,55041,Census Tract 280,New York,Kings County,1295,285,218,0,199,19,67,544,507,0,490,17,37,466,442,0,438,4,24,128,9.9,23.5,6.8,5.2,253220.796875,2552.58617889557
48738,11206,11206,36047028100,161938,0,Census Tract 281,New York,Kings County,2707,597,350,0,324,26,247,1513,1386,0,1248,138,127,597,597,0,571,26,0,374,13.8,41.4,8.4,0.0,281970.44140625,2166.77447776274
48738,11221,11221,36047028100,161938,0,Census Tract 281,New York,Kings County,2707,597,350,0,324,26,247,1513,1386,0,1248,138,127,597,597,0,571,26,0,374,13.8,41.4,8.4,0.0,281970.44140625,2166.77447776274
48739,11214,11214,36047028200,169389,73215,Census Tract 282,New York,Kings County,2562,404,404,0,404,0,0,1254,1117,0,1051,66,137,904,904,0,904,0,0,137,5.3,0.0,10.9,0.0,311254.54296875,2604.97325992076
48740,11206,11206,36047028300,121875,0,Census Tract 283,New York,Kings County,2334,601,383,0,294,89,218,1232,1153,66,897,190,79,501,484,0,461,23,17,314,13.5,36.3,6.4,3.4,212229.5703125,1949.1481286249398
48741,11214,11214,36047028400,164257,0,Census Tract 284,New York,Kings County,2579,524,387,0,351,36,137,1207,1097,0,996,101,110,848,772,0,710,62,76,323,12.5,26.1,9.1,9.0,285267.7265625,2448.94739326029
48742,11206,11206,36047028501,83218,0,Census Tract 285.01,New York,Kings County,297,94,94,0,24,70,0,57,44,0,44,0,13,146,141,0,129,12,5,18,6.1,0.0,22.8,3.4,144932.57421875,1675.1197374760998
48743,11206,11206,36047028502,119870,0,Census Tract 285.02,New York,Kings County,1956,699,468,0,280,188,231,1133,934,26,756,152,199,124,124,0,118,6,0,430,22.0,33.0,17.6,0.0,208749.67578125,1919.5394007722698
48744,11214,11214,36047028600,176618,58184,Census Tract 286,New York,Kings County,3414,316,297,0,229,68,19,1594,1330,18,1144,168,264,1504,1386,0,1268,118,118,401,11.7,6.0,16.6,7.8,313050.140625,2644.40199822996
48745,11206,11206,36047028700,148810,0,Census Tract 287,New York,Kings County,2293,461,166,0,106,60,295,1254,1145,0,976,169,109,578,556,0,528,28,22,426,18.6,64.0,8.7,3.8,259133.73828125,2381.56179329518
48745,11221,11221,36047028700,148810,0,Census Tract 287,New York,Kings County,2293,461,166,0,106,60,295,1254,1145,0,976,169,109,578,556,0,528,28,22,426,18.6,64.0,8.7,3.8,259133.73828125,2381.56179329518
48746,11214,11214,36047028800,152808,0,Census Tract 288,New York,Kings County,2539,708,643,0,592,51,65,1160,1083,0,1010,73,77,671,655,0,600,55,16,158,6.2,9.2,6.6,2.4,265375.5625,2321.2527546372603
48747,11206,11206,36047028900,165740,0,Census Tract 289,New York,Kings County,2431,555,365,0,355,10,190,1384,1210,0,1030,180,174,492,434,0,402,32,58,422,17.4,34.2,12.6,11.8,288594.49609375,2640.9397775309803
48747,11221,11221,36047028900,165740,0,Census Tract 289,New York,Kings County,2431,555,365,0,355,10,190,1384,1210,0,1030,180,174,492,434,0,402,32,58,422,17.4,34.2,12.6,11.8,288594.49609375,2640.9397775309803
48748,11214,11214,36047029000,154712,0,Census Tract 290,New York,Kings County,2881,485,395,0,272,123,90,1154,980,0,786,194,174,1242,1156,0,1013,143,86,350,12.1,18.6,15.1,6.9,268669.89453125,2329.83621481232
48749,11221,11221,36047029100,164644,0,Census Tract 291,New York,Kings County,2244,224,130,0,130,0,94,1213,1112,0,1019,93,101,807,807,24,783,0,0,195,8.7,42.0,8.3,0.0,286663.33203125,2187.0046558636104
48750,11214,11214,36047029200,205508,91737,Census Tract 292,New York,Kings County,1901,547,459,0,407,52,88,779,727,0,698,29,52,575,559,0,538,21,16,156,8.2,16.1,6.7,2.8,347822.77734375,2904.81983960336
48751,11221,11221,36047029300,164460,0,Census Tract 293,New York,Kings County,2274,294,153,0,119,34,141,1204,927,0,874,53,277,776,741,0,679,62,35,453,19.9,48.0,23.0,4.5,286318.515625,2186.27966752785
48752,11214,11214,36047029400,188664,63389,Census Tract 294,New York,Kings County,1238,309,166,0,141,25,143,581,532,0,452,80,49,348,337,0,326,11,11,203,16.4,46.3,8.4,3.2,322044.6484375,2611.9254680408803
48753,11221,11221,36047029500,164586,0,Census Tract 295,New York,Kings County,3168,277,224,0,152,72,53,1236,1194,0,1064,130,42,1655,1655,0,1537,118,0,95,3.0,19.1,3.4,0.0,286508.01953125,2185.9461977219603
48753,11233,11233,36047029500,164586,0,Census Tract 295,New York,Kings County,3168,277,224,0,152,72,53,1236,1194,0,1064,130,42,1655,1655,0,1537,118,0,95,3.0,19.1,3.4,0.0,286508.01953125,2185.9461977219603
48754,11214,11214,36047029600,214120,0,Census Tract 296,New York,Kings County,4102,939,789,0,738,51,150,1500,1284,0,1118,166,216,1663,1638,0,1569,69,25,391,9.5,16.0,14.4,1.5,371815.9921875,2979.3530975542894
48755,11233,11233,36047029700,205561,0,Census Tract 297,New York,Kings County,3013,330,306,0,266,40,24,1313,1248,0,1112,136,65,1370,1364,0,1233,131,6,95,3.2,7.3,5.0,0.4,357807.93359375,2355.5352847137
48756,11214,11214,36047029800,220827,0,Census Tract 298,New York,Kings County,2677,541,456,0,396,60,85,1354,1289,18,1168,103,65,782,782,0,766,16,0,150,5.6,15.7,4.8,0.0,383461.27734375,2986.8051680061103
48756,11223,11223,36047029800,220827,0,Census Tract 298,New York,Kings County,2677,541,456,0,396,60,85,1354,1289,18,1168,103,65,782,782,0,766,16,0,150,5.6,15.7,4.8,0.0,383461.27734375,2986.8051680061103
48757,11233,11233,36047029900,142218,0,Census Tract 299,New York,Kings County,1662,300,256,0,178,78,44,1076,1003,0,872,131,73,286,286,0,251,35,0,117,7.0,14.7,6.8,0.0,247526.68359375,2354.2718881852898
48758,11214,11214,36047030000,195051,0,Census Tract 300,New York,Kings County,2957,843,622,18,604,0,221,1241,1114,0,1057,57,127,873,831,27,782,22,42,390,13.2,26.2,10.2,4.8,338667.4140625,2909.2776398626397
48759,11233,11233,36047030100,194432,0,Census Tract 301,New York,Kings County,2089,295,237,0,99,138,58,1283,1150,0,869,281,133,511,511,0,491,20,0,191,9.1,19.7,10.4,0.0,338395.484375,2983.886602315
48760,11214,11214,36047030200,211197,0,Census Tract 302,New York,Kings County,3223,710,642,0,601,41,68,1606,1520,0,1370,150,86,907,888,0,822,66,19,173,5.4,9.6,5.4,2.1,366681.2265625,2779.4568441673
48761,11233,11233,36047030300,253580,0,Census Tract 303,New York,Kings County,2828,911,678,0,407,271,233,1301,1173,0,1037,136,128,616,573,0,502,71,43,404,14.3,25.6,9.8,7.0,441311.04296875,2784.50084828567
48762,11214,11214,36047030400,465276,362966,Census Tract 304,New York,Kings County,2981,780,639,0,613,26,141,1214,1063,14,1028,21,151,987,923,0,904,19,64,356,11.9,18.1,12.4,6.5,805725.12890625,6455.479322975029
48763,11238,11238,36047030500,322515,0,Census Tract 305,New York,Kings County,5109,367,258,0,216,42,109,1603,1339,0,1177,162,264,3139,3124,0,3023,101,15,388,7.6,29.7,16.5,0.5,561313.546875,2966.6592084960903
48764,11214,11214,36047030600,193681,0,Census Tract 306,New York,Kings County,1219,357,283,0,230,53,74,545,498,0,404,94,47,317,295,0,279,16,22,143,11.7,20.7,8.6,6.9,336220.70703125,2448.02099566392
48765,11213,11213,36047030700,266959,0,Census Tract 307,New York,Kings County,3186,1016,784,0,557,227,232,1623,1366,0,1105,261,257,547,428,0,412,16,119,608,19.1,22.8,15.8,21.8,464596.5703125,2878.0284450273602
48765,11233,11233,36047030700,266959,0,Census Tract 307,New York,Kings County,3186,1016,784,0,557,227,232,1623,1366,0,1105,261,257,547,428,0,412,16,119,608,19.1,22.8,15.8,21.8,464596.5703125,2878.0284450273602
48766,11214,11214,36047030800,681580,0,Census Tract 308,New York,Kings County,1568,343,315,0,291,24,28,760,599,0,557,42,161,465,460,0,454,6,5,194,12.4,8.2,21.2,1.1,1183041.51953125,5115.86310929324
48766,11223,11223,36047030800,681580,0,Census Tract 308,New York,Kings County,1568,343,315,0,291,24,28,760,599,0,557,42,161,465,460,0,454,6,5,194,12.4,8.2,21.2,1.1,1183041.51953125,5115.86310929324
48767,11213,11213,36047030900,151863,0,Census Tract 309,New York,Kings County,1296,293,233,6,157,70,60,707,692,0,593,99,15,296,273,0,273,0,23,98,7.6,20.5,2.1,7.8,264297.68359375,2224.38539863833
48768,11213,11213,36047031100,152683,0,Census Tract 311,New York,Kings County,2015,361,320,0,189,131,41,995,860,0,642,218,135,659,659,0,559,100,0,176,8.7,11.4,13.6,0.0,265727.4609375,2224.5760011017396
48769,11213,11213,36047031300,174300,0,Census Tract 313,New York,Kings County,3632,464,379,0,306,73,85,1684,1467,0,1229,238,217,1484,1484,0,1432,52,0,302,8.3,18.3,12.9,0.0,303349.30859375,2220.10294358672
48769,11216,11216,36047031300,174300,0,Census Tract 313,New York,Kings County,3632,464,379,0,306,73,85,1684,1467,0,1229,238,217,1484,1484,0,1432,52,0,302,8.3,18.3,12.9,0.0,303349.30859375,2220.10294358672
48770,11214,11214,36047031400,835660,410549,Census Tract 314,New York,Kings County,3976,758,596,0,535,61,162,1801,1674,0,1525,149,127,1417,1402,0,1288,114,15,304,7.6,21.4,7.1,1.1,1488394.5390625,7929.46571468121
48771,11216,11216,36047031500,180189,0,Census Tract 315,New York,Kings County,3867,454,202,0,116,86,252,1151,890,50,683,157,261,2262,2211,0,2128,83,51,564,14.6,55.5,22.7,2.3,313602.703125,2302.46135380367
48772,11216,11216,36047031701,139741,0,Census Tract 317.01,New York,Kings County,2497,233,181,0,168,13,52,1180,1078,0,940,138,102,1084,1057,0,1057,0,27,181,7.2,22.3,8.6,2.5,243184.7890625,2023.05018459254
48773,11216,11216,36047031702,139788,0,Census Tract 317.02,New York,Kings County,2440,135,108,0,108,0,27,942,831,0,630,201,111,1363,1295,0,1242,53,68,206,8.4,20.0,11.8,5.0,243245.55859375,2023.43035480349
48774,11225,11225,36047031900,151344,0,Census Tract 319,New York,Kings County,2209,340,232,0,160,72,108,904,802,11,671,120,102,965,871,0,859,12,94,304,13.8,31.8,11.3,9.7,263321.05859375,2325.98156406025
48775,11225,11225,36047032100,160095,0,Census Tract 321,New York,Kings County,4230,578,303,0,266,37,275,1794,1562,32,1423,107,232,1858,1719,36,1608,75,139,646,15.3,47.6,12.9,7.5,278548.453125,2429.28358973358
48776,11225,11225,36047032300,173046,0,Census Tract 323,New York,Kings County,2697,328,225,0,225,0,103,1222,1085,0,927,158,137,1147,1147,0,1059,88,0,240,8.9,31.4,11.2,0.0,301077.33203125,2522.92082054621
48777,11225,11225,36047032500,168414,0,Census Tract 325,New York,Kings County,4823,815,578,22,348,208,237,2768,2341,59,1872,410,427,1240,1240,0,1076,164,0,664,13.8,29.1,15.4,0.0,293026.64453125,2532.56159631952
48778,11224,11224,36047032600,329186,0,Census Tract 326,New York,Kings County,4074,1278,916,32,712,172,362,2075,1798,17,1526,255,277,721,559,0,284,275,162,801,19.7,28.3,13.3,22.5,571211.16015625,3161.39965314856
48779,11225,11225,36047032700,177080,0,Census Tract 327,New York,Kings County,1911,283,236,0,199,37,47,805,616,0,456,160,189,823,815,0,792,23,8,244,12.8,16.6,23.5,1.0,308058.40625,2946.5135728782398
48780,11224,11224,36047032800,232840,0,Census Tract 328,New York,Kings County,1826,561,467,31,406,30,94,909,686,0,613,73,223,356,356,17,333,6,0,317,17.4,16.8,24.5,0.0,404026.703125,3060.04984478903
48781,11225,11225,36047032900,156418,0,Census Tract 329,New York,Kings County,3977,606,442,0,431,11,164,2076,1830,0,1465,365,246,1295,1089,0,986,103,206,616,15.5,27.1,11.8,15.9,272120.32421875,2866.2427842131897
48782,11224,11224,36047033000,372139,119065,Census Tract 330,New York,Kings County,3338,1023,716,0,640,76,307,1656,1371,0,1253,118,285,659,621,0,601,20,38,630,18.9,30.0,17.2,5.8,587513.07421875,3829.95384422831
48783,11213,11213,36047033100,142464,0,Census Tract 331,New York,Kings County,2780,377,296,0,260,36,81,1663,1424,0,1274,150,239,740,718,0,673,45,22,342,12.3,21.5,14.4,3.0,247849.66796875,3032.50274874243
48783,11225,11225,36047033100,142464,0,Census Tract 331,New York,Kings County,2780,377,296,0,260,36,81,1663,1424,0,1274,150,239,740,718,0,673,45,22,342,12.3,21.5,14.4,3.0,247849.66796875,3032.50274874243
48784,11213,11213,36047033300,186339,0,Census Tract 333,New York,Kings County,2381,201,137,8,111,18,64,1461,1342,46,906,390,119,719,657,0,639,18,62,245,10.3,31.8,8.1,8.6,324197.87890625,2997.06455393041
48784,11225,11225,36047033300,186339,0,Census Tract 333,New York,Kings County,2381,201,137,8,111,18,64,1461,1342,46,906,390,119,719,657,0,639,18,62,245,10.3,31.8,8.1,8.6,324197.87890625,2997.06455393041
48785,11213,11213,36047033500,180682,0,Census Tract 335,New York,Kings County,1529,95,80,5,75,0,15,760,739,5,651,83,21,674,644,0,614,30,30,66,4.3,15.8,2.8,4.5,314372.65234375,2980.5798608646196
48786,11224,11224,36047033600,688235,1085724,Census Tract 336,New York,Kings County,3346,367,294,0,284,10,73,1367,1261,15,1084,162,106,1612,1563,14,1376,173,49,228,6.8,19.9,7.8,3.0,1175970.80078125,4444.85454536471
48787,11213,11213,36047033700,197587,0,Census Tract 337,New York,Kings County,2465,374,306,0,178,128,68,1121,986,0,870,116,135,970,893,0,828,65,77,280,11.4,18.2,12.0,7.9,343803.453125,3030.0816907152002
