modzcta,Child Health Center,Diagnostic & Treatment Center,Acute Care Hospital,Nursing Home,avg
11363,7699.032119028954,14964.248541836627,7699.032119028954,17228.157714095272,11897.617623497452
11364,4492.061694064388,13990.002569151411,4492.061694064388,16103.4174391236,9769.385849100947
11365,2965.051532915535,11344.273316040126,2965.051532915535,13336.21815628128,7652.648634538119
11366,1795.048987639922,11211.855558353744,1795.048987639922,14435.507027290818,7309.365140231102
11367,3113.4558434545124,8718.272719462902,3417.0648417564626,11021.00983760432,6567.4508105695495
11368,38.111983453278704,8634.703924640922,2487.930885493661,8338.793454613662,4874.885062050381
11369,2127.6525625665563,5891.322067691845,3389.432756620845,6563.105560415515,4492.878236823691
11370,2696.396506412676,4557.740398324917,4182.002331361651,5509.9820133346975,4236.530312358485
11372,6.37301033006296,7067.831190145931,1508.3249638229172,5718.59671555709,3575.2814699640003
11373,18.05792624943673,7557.794285722163,18.05792624943673,6562.53279204652,3539.110732566889
11374,1970.7836455348906,6687.166201150953,1970.7836455348906,8452.800295745476,4770.383446991553
11375,3245.0304224368465,6836.457626450225,3359.7212637309735,9883.282804910154,5831.12302938205
11377,49.395566397586805,7318.226109001723,2363.9661820252927,4238.77657636107,3492.591108446418
11378,2300.745130168162,5985.206351595763,3045.6137941525026,5369.800368427605,4175.3414110860085
11379,2440.2171519707294,5146.306405500302,2440.2171519707294,7783.417211206944,4452.539480162176
11385,1307.9663885025664,3258.8784504463642,4298.7548920704785,6190.061446889575,3763.915294477246
11411,2996.4031052822697,13683.158915392189,5240.792196273061,17639.045036838914,9889.849813446608
11412,2724.063376557316,11875.427926139491,3310.3416955372604,15856.350537184924,8441.54588385475
11413,4.619667872481029,12209.121773376699,5982.643861963808,16011.563034858114,8551.987084517776
11414,3203.7702452264616,4514.942106137046,7519.1140749383885,8021.166654151461,5814.7482701133395
11415,3036.8038389770477,6955.48218469769,3036.8038389770477,10847.452328511077,5969.135547790716
11416,2814.3974318217793,4108.9452410827635,5742.749965242445,8101.698424058124,5191.947765551278
11417,2901.842565864345,4314.044709423639,5972.293110769059,8256.359520895932,5361.1349767382435
11418,3924.3759469550137,5903.378669922388,3924.3759469550137,9836.73245855859,5897.215755597752
11419,3718.7034145778907,6387.90454147957,3718.7034145778907,10378.658041592738,6050.992353057023
11420,3613.44996409582,6546.196349309459,4878.108027073577,10419.87791870396,6364.4080647957035
11421,2968.1525659484637,3944.066221151497,5230.849625225656,7826.529867615428,4992.399569985261
11422,1594.251968347601,13512.28661411133,7532.640702022242,17224.759923823116,9965.984802076073
11423,2077.153204369422,11758.10173622773,2077.153204369422,15739.44196063684,7912.962526400854
11426,6493.793870501607,16269.915470082868,6493.793870501607,19429.79958065401,12171.825697935023
11427,4451.851226944799,14237.45371179221,4451.851226944799,17603.328398107606,10186.121140947354
11428,4366.617881386307,14032.786904340344,4366.617881386307,18019.694683628368,10196.429337685331
11429,5028.937759829971,14456.815800323855,5028.937759829971,18449.644602538523,10741.08398063058
11432,249.8819674192265,9887.14613094337,249.8819674192265,13837.845554227837,6056.188905002416
11433,1722.55392078696,9592.892638139625,1722.55392078696,13584.732284598847,6655.683191078098
11434,2332.185155463167,9603.100882581892,6297.2693351748885,13229.221936715872,7865.444327483955
11435,1933.8938409517025,7933.959732536587,1933.8938409517025,11917.026884320898,5929.693574690223
11436,1805.738801676168,8346.758732821389,4154.387197803683,12229.911679719327,6634.199103005142
11691,7645.212151532769,13774.152790599665,12695.472945745321,16441.91636752992,12639.18856385192
11692,9228.797828497267,12378.533676492263,13361.078864564968,14548.669328083037,12379.269924409384
11693,9599.731906807676,10695.707025919075,12670.23578113714,12580.17966229342,11386.463594039327
11694,8848.240450930589,11321.351409097806,10317.015143457767,12196.187301581735,10670.698576266974
11697,5641.733786406827,12577.620436449748,5833.295458831604,11547.921409269296,8900.142772739368
99999,463.68382655595286,3479.0956154938704,1014.0887693479008,4066.7690669592284,2255.9093195892383
